date,reference_month,retail_sa_mom_pct,source_release_period,revision_status,verification_status,pit_use_status,source_url
2023-02-01,2023-02,1.43,2024-01/02,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202403/t20240327_1948175.html
2023-03-01,2023-03,1.02,2024-03,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202404/t20240416_1948573.html
2023-04-01,2023-04,1.06,2024-04,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202405/t20240520_1950429.html
2023-05-01,2023-05,0.15,2024-05,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/zwfwck/sjfb/202406/t20240617_1954709.html
2023-06-01,2023-06,0.01,2024-06,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955609.html
2023-07-01,2023-07,-0.02,2024-07,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202408/t20240815_1955981.html
2023-08-01,2023-08,0.90,2024-08,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202409/t20240914_1956481.html
2023-09-01,2023-09,0.50,2024-09,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/zwfwck/sjfb/202410/t20241018_1957039.html
2023-10-01,2023-10,0.64,2024-10,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202411/t20241115_1957427.html
2023-11-01,2023-11,0.10,2024-11,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202412/t20241216_1957759.html
2023-12-01,2023-12,0.45,2024-12,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958327.html
2024-01-01,2024-01,-0.04,2024-12,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958327.html
2024-02-01,2024-02,0.11,2025-01/02,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202503/t20250317_1959014.html
2024-03-01,2024-03,0.48,2025-03,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202504/t20250416_1959317.html
2024-04-01,2024-04,-0.08,2025-04,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202505/t20250519_1959858.html
2024-05-01,2024-05,0.21,2025-05,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/zwfwck/sjfb/202506/t20250616_1960169.html
2024-06-01,2024-06,0.24,2025-06,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202507/t20250715_1960409.html
2024-07-01,2024-07,0.74,2025-07,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202508/t20250815_1960783.html
2024-08-01,2024-08,0.36,2025-08,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202509/t20250915_1961177.html
2024-09-01,2024-09,0.53,2025-09,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202510/t20251020_1961606.html
2024-10-01,2024-10,0.50,2025-10,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202511/t20251114_1961852.html
2024-11-01,2024-11,0.32,2025-11,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202512/t20251215_1962071.html
2024-12-01,2024-12,0.32,2025-12,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962323.html
2025-01-01,2025-01,0.32,2026-01/02,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202603/t20260316_1962786.html
2025-02-01,2025-02,0.48,2026-01/02,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202603/t20260316_1962786.html
2025-03-01,2025-03,0.13,2026-03,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202604/t20260416_1963325.html
2025-04-01,2025-04,0.15,2026-04,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202605/t20260518_1963727.html
2025-05-01,2025-05,0.69,2026-05,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202606/t20260616_1963949.html
2025-06-01,2025-06,-0.50,2026-06,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202607/t20260715_1964127.html
2025-07-01,2025-07,0.01,2026-07,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2025-08-01,2025-08,0.18,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2025-09-01,2025-09,-0.08,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2025-10-01,2025-10,0.15,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2025-11-01,2025-11,-0.10,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2025-12-01,2025-12,-0.01,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2026-01-01,2026-01,0.18,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2026-02-01,2026-02,0.23,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2026-03-01,2026-03,0.10,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2026-04-01,2026-04,-0.27,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2026-05-01,2026-05,-0.15,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2026-06-01,2026-06,0.35,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
2026-07-01,2026-07,0.06,2026-07,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html
