date,reference_month,afre_stock_yoy_pct,observation_status,frequency_status,definition_regime,vintage_status,available_date,pit_use_status,verification_status,source_url
2008-11-01,2008-11,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-12-01,2008-12,20.5,HAS_VALUE,ANNUAL_YEAR_END,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,OFFICIAL_NBS_YEARBOOK_VERIFIED,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-01-01,2009-01,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-02-01,2009-02,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-03-01,2009-03,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-04-01,2009-04,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-05-01,2009-05,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-06-01,2009-06,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-07-01,2009-07,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-08-01,2009-08,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-09-01,2009-09,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-10-01,2009-10,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-11-01,2009-11,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2009-12-01,2009-12,34.8,HAS_VALUE,ANNUAL_YEAR_END,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,OFFICIAL_NBS_YEARBOOK_VERIFIED,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-01-01,2010-01,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-02-01,2010-02,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-03-01,2010-03,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-04-01,2010-04,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-05-01,2010-05,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-06-01,2010-06,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-07-01,2010-07,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-08-01,2010-08,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-09-01,2010-09,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-10-01,2010-10,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-11-01,2010-11,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2010-12-01,2010-12,27.0,HAS_VALUE,ANNUAL_YEAR_END,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,OFFICIAL_NBS_YEARBOOK_VERIFIED,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-01-01,2011-01,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-02-01,2011-02,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-03-01,2011-03,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-04-01,2011-04,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-05-01,2011-05,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-06-01,2011-06,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-07-01,2011-07,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-08-01,2011-08,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-09-01,2011-09,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-10-01,2011-10,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-11-01,2011-11,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2011-12-01,2011-12,18.2,HAS_VALUE,ANNUAL_YEAR_END,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,OFFICIAL_NBS_YEARBOOK_VERIFIED,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-01-01,2012-01,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-02-01,2012-02,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-03-01,2012-03,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-04-01,2012-04,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-05-01,2012-05,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-06-01,2012-06,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-07-01,2012-07,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-08-01,2012-08,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-09-01,2012-09,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-10-01,2012-10,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-11-01,2012-11,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2012-12-01,2012-12,19.1,HAS_VALUE,ANNUAL_YEAR_END,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,OFFICIAL_NBS_YEARBOOK_VERIFIED,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2013-01-01,2013-01,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
