year,value,variable,country,unit,source_note
1990,5.083782703848039,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1991,3.797732714242685,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1992,1.022013142281497,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1993,0.3115930168032799,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1994,0.644709102627461,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1995,1.4710101595483582,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1996,5.05001803446421,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1997,1.5941458198986955,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1998,-2.508813191976045,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1999,0.2028561327826361,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2000,0.9157080150460573,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2001,0.2710783595400556,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2002,0.0523173884386718,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2003,1.4167428431285156,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2004,2.101978509372593,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2005,1.8452354890518217,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2006,1.520269265875429,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2007,1.7213651643539496,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2008,-1.1591764118859982,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2009,-5.935733297813872,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2010,4.13227592492762,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2011,-0.1847559426059963,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2012,1.6566838565038378,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2013,2.022367503015565,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2014,0.8175390381103043,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2015,1.8500161295494253,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2016,0.6693010182339698,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2017,1.625886194009274,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2018,0.8546570809610632,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2019,-0.311577518426076,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2020,-4.332506364368626,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2021,3.67214630049697,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2022,1.202240378433839,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2023,0.8899268032666718,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2024,0.0777438071070113,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
2025,1.172139065619815,real_gdp_yoy,jp,pct,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
