decision_month,afre_yoy,delta_pmi,ey,eyg,fr007_p90,fr007_vol,loans_12m,m1_m2_gap,pmi_gap,term_spread
2012-08,,-0.1000,10.5597,7.1669,3.7886,0.1985,82031.9100,-9.3000,0.1000,0.5299
2012-09,,-0.9000,10.3306,6.8731,4.4530,0.5493,83587.3600,-9.0000,-0.8000,0.5284
2012-10,,0.6000,10.5708,6.9969,3.7890,0.4332,85120.5900,-7.5000,-0.2000,0.5496
2012-11,,0.4000,10.9051,7.3719,3.3912,0.1886,84306.3000,-8.0000,0.2000,0.5058
2012-12,,0.4000,9.5329,5.9591,4.0000,0.4990,83897.6700,-8.4000,0.6000,0.5149
2013-01,,0.0000,9.0090,5.4036,3.5100,0.3422,82037.7500,-7.3000,0.6000,0.5493
2013-02,,-0.2000,9.1659,5.5702,4.1482,0.4740,85377.7500,-0.6000,0.4000,0.5190
2013-03,,-0.3000,9.9010,6.3618,3.3900,0.4795,84470.7500,-5.7000,0.1000,0.5047
2013-04,,0.8000,10.2564,6.8251,3.9020,0.5657,84981.3300,-3.8000,0.9000,0.4648
2013-05,,-0.3000,9.9502,6.5103,4.2440,0.6008,86086.5400,-4.2000,0.6000,0.3945
2013-06,,0.2000,11.5207,8.0082,8.1560,1.4894,84848.2200,-4.5000,0.8000,0.2933
2013-07,,-0.7000,11.4155,7.6941,5.0760,0.5745,84278.0500,-4.9000,0.1000,0.1845
2013-08,,0.2000,11.4155,7.3801,4.3950,0.2724,85873.8400,-4.8000,0.3000,0.2346
2013-09,,0.7000,11.0865,7.0911,4.2000,0.2777,85962.3900,-4.8000,1.0000,0.2214
2013-10,,0.1000,11.5741,7.3935,5.0100,0.6467,87606.1600,-5.3000,1.1000,0.2017
2013-11,,0.3000,11.2486,6.8874,4.9600,0.5129,87612.4500,-5.4000,1.4000,0.1950
2013-12,,0.0000,11.6009,7.0491,6.5030,1.1471,88638.0800,-4.8000,1.4000,0.2140
2014-01,,-0.4000,12.1951,7.6932,5.2970,0.5989,88917.0000,-4.3000,1.0000,0.6839
2014-02,,-0.5000,12.2100,7.7824,5.2700,0.8443,91386.0000,-12.0000,0.5000,0.8877
2014-03,,-0.3000,12.3305,7.8301,4.1700,0.7482,91634.0000,-6.4000,0.2000,1.0949
2014-04,,0.1000,12.5628,8.2626,4.1760,0.5385,91506.0000,-6.7000,0.3000,0.5762
2014-05,,0.1000,12.4688,8.3974,3.4200,0.1453,91328.0000,-7.7000,0.4000,0.4004
2014-06,,0.4000,12.2699,8.2087,3.6200,0.2468,93342.0000,-7.7000,0.8000,0.4581
2014-07,,0.2000,11.4679,7.2024,4.0980,0.2541,95507.0000,-5.8000,1.0000,0.3917
2014-08,,0.7000,11.8343,7.5982,3.7900,0.1793,92362.0000,-6.8000,1.7000,0.3329
2014-09,,-0.6000,11.4416,7.4592,3.4480,0.1650,92259.0000,-7.1000,1.1000,0.1707
2014-10,,0.0000,11.3766,7.6207,3.2500,0.0985,92961.0000,-8.1000,1.1000,0.3582
2014-11,,-0.3000,10.1729,6.6480,3.5000,0.1305,93384.0000,-9.4000,0.8000,0.3605
2014-12,,-0.5000,7.8493,4.2274,5.4000,0.8197,95665.0000,-9.1000,0.3000,0.3137
2015-01,,-0.2000,8.0257,4.5238,4.1500,0.2693,97813.0000,-9.0000,0.1000,0.3466
2015-02,14.3000,-0.3000,7.8064,4.4319,4.8150,0.1735,99330.8840,-0.2000,-0.2000,0.2959
2015-03,14.3000,0.1000,6.9156,3.2673,4.8093,0.3812,104319.8655,-6.9000,-0.1000,0.3832
2015-04,13.1000,0.2000,6.0314,2.6811,3.4200,0.3878,103742.7275,-8.7000,0.1000,0.4024
2015-05,13.1000,0.0000,6.1200,2.5246,2.4370,0.2069,104042.7879,-6.4000,0.1000,1.1497
2015-06,13.1000,0.1000,6.2073,2.6097,2.8700,0.3408,103844.9697,-6.1000,0.2000,1.2546
2015-07,12.0000,0.0000,7.2359,3.7607,2.7740,0.1330,106291.5285,-7.5000,0.2000,0.9045
2015-08,12.0000,-0.2000,8.5543,5.2291,2.5600,0.0743,108329.9975,-6.7000,0.0000,0.7183
2015-09,12.0000,-0.3000,8.9127,5.6765,2.4500,0.0441,109060.9171,-4.0000,-0.3000,0.5647
2015-10,12.5000,0.1000,8.0386,4.9786,2.4130,0.0400,110906.1619,-1.7000,-0.2000,0.5120
2015-11,12.5000,0.0000,8.0580,5.0176,2.3500,0.0246,110996.9176,0.5000,-0.2000,0.3254
2015-12,12.5000,-0.2000,7.6864,4.8652,2.4820,0.0472,111342.8200,2.0000,-0.4000,0.3977
2016-01,12.5000,0.1000,9.5511,6.7092,2.4820,0.0516,112692.9033,1.9000,-0.3000,0.3647
2016-02,13.1000,-0.3000,9.7466,6.8964,2.4200,0.0549,123355.0895,4.6000,-0.6000,0.4342
2016-03,12.7000,-0.4000,8.7413,5.8994,2.4000,0.0485,120023.5503,4.1000,-1.0000,0.6571
2016-04,13.4000,1.2000,8.8339,5.9426,2.5550,0.0956,123279.2501,8.7000,0.2000,0.4529
2016-05,13.1000,-0.1000,8.8028,5.8177,2.5000,0.0527,120876.2424,10.1000,0.1000,0.5213
2016-06,12.6000,0.0000,8.7951,5.9540,2.4500,0.0934,121740.3283,11.9000,0.1000,0.3542
2016-07,12.4000,-0.1000,8.5470,5.7702,2.6000,0.0829,121641.8770,12.8000,0.0000,0.4140
2016-08,12.2000,-0.1000,8.0906,5.3481,2.6000,0.0839,120301.6312,15.2000,-0.1000,0.5032
2016-09,12.3000,0.5000,8.2988,5.5730,2.7000,0.1539,120514.9078,13.9000,0.4000,0.4649
2016-10,12.5000,0.0000,8.2781,5.5356,3.0000,0.2659,122725.7266,13.2000,0.4000,0.4918
2016-11,12.8000,0.8000,7.8431,4.8929,2.8950,0.2223,123162.3015,12.3000,1.2000,0.5254
2016-12,13.3000,0.5000,8.1235,5.1120,3.2360,0.2809,122752.6611,11.3000,1.7000,0.3073
2017-01,12.8000,-0.3000,7.8247,4.4782,2.8800,0.2332,124372.3659,10.1000,1.4000,0.5728
2017-02,12.8000,-0.1000,7.7101,4.4180,3.3400,0.3293,122135.1504,3.7968,1.3000,0.4593
2017-03,12.8000,0.3000,7.7821,4.4993,4.3700,0.7102,124347.0264,10.9500,1.6000,0.3520
2017-04,,0.2000,7.8802,4.4134,3.8400,0.4384,122757.5209,8.6822,1.8000,0.2520
2017-05,,-0.6000,7.7821,4.1719,3.7000,0.4250,127921.1562,8.6574,1.2000,0.0496
2017-06,,0.0000,7.4683,3.9000,3.4940,0.2177,130327.2475,7.8711,1.2000,0.0743
2017-07,,0.5000,7.2569,3.6309,3.4400,0.2129,131660.4943,5.8987,1.7000,0.1622
2017-08,,-0.3000,7.2046,3.5781,3.9600,0.3185,136261.8311,6.4100,1.4000,0.1470
2017-09,,0.3000,7.2307,3.6171,3.5000,0.1394,139758.7879,5.4367,1.7000,0.0874
2017-10,,0.7000,7.2254,3.3337,3.4400,0.2057,139015.5680,5.0240,2.4000,0.2651
2017-11,,-0.8000,7.2411,3.3510,3.4400,0.1991,139640.4868,4.1229,1.6000,0.1942
2017-12,,0.2000,7.1174,3.2367,3.4400,0.7099,142605.6860,3.5852,1.8000,0.0960
2018-01,,-0.2000,6.5833,2.6693,3.4450,0.2411,138432.3887,3.7346,1.6000,0.3851
2018-02,,-0.3000,7.0822,3.2620,3.1960,0.2173,142149.7885,6.4000,1.3000,0.4698
2018-03,,-1.0000,7.4794,3.7387,3.3000,0.1779,142031.9561,-0.3000,0.3000,0.3190
2018-04,,1.2000,7.8493,4.2129,3.5400,0.3521,141870.4682,-1.1000,1.5000,0.5326
2018-05,,-0.1000,7.9681,4.3552,3.5260,0.3600,142052.1307,-1.1000,1.4000,0.3455
2018-06,,0.5000,8.4674,4.9918,3.2200,0.2544,141667.9553,-2.3000,1.9000,0.2188
2018-07,,-0.4000,8.3822,4.9010,2.7950,0.0809,143980.9428,-1.4000,1.5000,0.5569
2018-08,,-0.3000,9.0171,5.4420,2.7000,0.1578,147690.5349,-3.4000,1.2000,0.5033
2018-09,,0.1000,8.6356,5.0203,2.7000,0.0784,149364.3806,-4.3000,1.3000,0.4256
2018-10,,-0.5000,9.4340,5.9254,2.6500,0.0414,151820.5362,-4.3000,0.8000,0.5671
2018-11,,-0.6000,9.5785,6.2235,2.7450,0.0607,152326.5693,-5.3000,0.2000,0.6585
2018-12,,-0.2000,9.9108,6.6793,2.8740,0.5559,153200.4370,-6.5000,0.0000,0.5091
2019-01,,-0.6000,9.3110,6.2073,2.6780,0.1174,156712.4107,-6.6000,-0.6000,0.5075
2019-02,,0.1000,8.2919,5.1188,2.8500,0.2383,165530.5156,-8.0000,-0.5000,0.5696
2019-03,,-0.3000,8.0000,4.9317,3.1300,0.3001,162971.6717,-6.4000,-0.8000,0.4831
2019-04,,1.3000,8.1500,4.7631,2.9950,0.2293,171131.4988,-4.0000,0.5000,0.4951
2019-05,,-0.4000,8.7108,5.4357,2.8100,0.1976,168876.9758,-5.6000,0.1000,0.4596
2019-06,,-0.7000,8.1833,4.9579,2.6060,0.1020,169336.2510,-5.1000,-0.6000,0.3770
2019-07,,0.0000,8.2372,5.0820,2.8900,0.2764,169285.8090,-4.1000,-0.6000,0.3975
2019-08,,0.3000,8.5470,5.4897,2.9000,0.1258,164510.7298,-5.0000,-0.3000,0.3560
2019-09,,-0.2000,8.5324,5.3913,2.7600,0.1803,164415.9131,-4.8000,-0.5000,0.4208
2019-10,,0.3000,8.5690,5.2810,2.9500,0.1387,167687.3545,-5.0000,-0.2000,0.5216
2019-11,,-0.5000,8.7260,5.5610,2.7900,0.1322,166015.7105,-5.1000,-0.7000,0.4832
2019-12,,0.9000,8.1301,4.9936,2.6960,0.1753,167346.5548,-4.7000,0.2000,0.6581
2020-01,,0.0000,8.3612,5.3680,2.7620,0.1715,168834.9062,-4.3000,0.2000,0.5139
2020-02,10.7000,-0.2000,8.6430,5.9054,2.4100,0.0954,168090.5466,-8.4000,0.0000,0.4831
2020-03,10.7000,-14.3000,9.2166,6.6267,2.2400,0.2526,167651.9048,-4.0000,-14.3000,0.6846
2020-04,11.5000,16.3000,8.4962,5.9582,1.7000,0.1697,178457.5092,-5.1000,2.0000,1.1655
2020-05,12.0000,-1.2000,8.6207,5.9154,2.0420,0.2879,185963.6817,-5.6000,0.8000,0.8508
2020-06,12.5000,-0.2000,8.0775,5.2545,2.3000,0.3060,189610.2230,-4.3000,0.6000,0.5784
2020-07,12.8000,0.3000,7.3153,4.3489,2.3500,0.1544,191902.3231,-4.6000,0.9000,0.4968
2020-08,12.9000,0.2000,6.9204,3.9027,2.5000,0.1444,194037.2502,-3.8000,1.1000,0.2402
2020-09,13.3000,-0.1000,7.2098,4.0616,2.4980,0.1588,195193.0682,-2.4000,1.0000,0.3558
2020-10,13.5000,0.5000,7.1839,4.0029,3.0600,0.3953,196751.6275,-2.8000,1.5000,0.3074
2020-11,13.7000,-0.1000,6.7981,3.5481,3.1000,0.3408,197944.9890,-1.4000,1.4000,0.2763
2020-12,13.6000,0.7000,6.3857,3.2428,2.6000,0.2749,199620.8158,-0.7000,2.1000,0.4203
2021-01,13.3000,-0.2000,6.2696,3.0910,3.1090,0.4515,200309.0000,-1.5000,1.9000,0.3580
2021-02,13.0000,-0.6000,6.3012,3.0214,2.5040,0.2623,203567.0000,5.3000,1.3000,0.4935
2021-03,13.3000,-0.7000,6.8446,3.6559,2.4000,0.1561,209778.0000,-2.7000,0.6000,0.4250
2021-04,12.3000,1.3000,7.3964,4.2324,2.3000,0.1315,206899.0000,-2.3000,1.9000,0.5076
2021-05,11.7000,-0.8000,7.0972,4.0522,2.4000,0.1972,203500.0000,-1.9000,1.1000,0.3872
2021-06,11.0000,-0.1000,6.9832,3.9054,2.6600,0.2935,202292.0000,-2.2000,1.0000,0.4170
2021-07,11.0000,-0.1000,7.6220,4.7857,2.4900,0.1724,206445.0000,-3.1000,0.9000,0.3843
2021-08,10.7000,-0.5000,8.0580,5.2130,2.4500,0.1674,204615.0000,-3.4000,0.4000,0.3539
2021-09,10.3000,-0.3000,7.9302,5.0526,2.3680,0.2337,203127.0000,-4.0000,0.1000,0.3864
2021-10,10.0000,-0.5000,7.8927,4.9195,2.4700,0.1630,201711.0000,-4.6000,-0.4000,0.3874
2021-11,10.0000,-0.4000,8.1633,5.3383,2.5000,0.1376,202800.0000,-5.9000,-0.8000,0.3222
2021-12,10.1000,0.9000,7.4794,4.7040,2.8000,0.2875,200512.0000,-5.5000,0.1000,0.4032
2022-01,10.3000,0.2000,8.0386,5.3365,2.3340,0.1459,199404.0000,-5.5000,0.3000,0.5610
2022-02,10.5000,-0.2000,7.9554,5.1804,2.4500,0.1817,203210.0000,-11.7000,0.1000,0.5192
2022-03,10.2000,0.1000,8.5324,5.7446,2.5850,0.3011,198881.0000,-4.5000,0.2000,0.4786
2022-04,10.5000,-0.7000,8.9206,6.0820,2.1000,0.1182,203661.0000,-5.0000,-0.5000,0.4915
2022-05,10.2000,-2.1000,8.8339,6.0913,1.8571,0.1125,194437.0000,-5.4000,-2.6000,0.4744
2022-06,10.5000,2.2000,8.1235,5.3030,2.5000,0.3660,198373.0000,-6.5000,-0.4000,0.5157
2022-07,10.8000,0.6000,8.7413,5.9853,1.7500,0.0683,205731.0000,-5.6000,0.2000,0.5674
2022-08,10.7000,-1.2000,9.0744,6.4519,1.7400,0.1401,201428.0000,-5.3000,-1.0000,0.5256
2022-09,10.5000,0.4000,9.5511,6.7910,1.7900,0.1698,202059.0000,-6.1000,-0.6000,0.6237
2022-10,10.6000,0.7000,10.4058,7.7625,2.2000,0.2548,209990.0000,-5.7000,0.1000,0.5651
2022-11,10.3000,-0.9000,9.4607,6.5757,2.1000,0.1634,206669.0000,-6.0000,-0.8000,0.5248
2022-12,10.0000,-1.2000,9.4429,6.6076,3.4500,0.9760,205096.0000,-7.8000,-2.0000,0.4831
2023-01,9.6000,-1.0000,8.8810,5.9833,2.4600,0.2768,209147.0000,-8.1000,-3.0000,0.4784
2023-02,9.4000,3.1000,8.9526,6.0509,2.6500,0.2718,216473.0000,-5.9000,0.1000,0.4132
2023-03,9.9000,2.5000,8.8731,6.0203,3.0500,0.4659,225573.0000,-7.1000,2.6000,0.4610
2023-04,10.0000,-0.7000,8.7184,5.9396,2.5050,0.1911,232769.0000,-7.6000,1.9000,0.4240
2023-05,10.0000,-2.7000,9.1491,6.4641,2.1500,0.1171,233584.0000,-7.1000,-0.8000,0.4986
2023-06,9.5000,-0.4000,9.1158,6.4807,2.8000,0.3680,227573.0000,-6.9000,-1.2000,0.4904
2023-07,9.0000,0.2000,8.8028,6.1431,2.1000,0.0959,229446.0000,-8.2000,-1.0000,0.4951
2023-08,8.9000,0.3000,9.0992,6.5417,2.2400,0.1914,225722.0000,-8.4000,-0.7000,0.4078
2023-09,9.0000,0.4000,9.1996,6.5245,2.1500,0.1051,225790.0000,-8.4000,-0.3000,0.3992
2023-10,9.0000,0.5000,9.3985,6.7047,2.7200,0.3201,225473.0000,-8.2000,0.2000,0.3327
2023-11,9.3000,-0.7000,9.5420,6.8740,3.2660,0.4989,225879.0000,-8.4000,-0.5000,0.2421
2023-12,9.4000,-0.1000,9.6339,7.0786,3.2000,0.6334,225551.0000,-8.7000,-0.6000,0.3455
2024-01,9.5000,-0.4000,9.8425,7.4095,2.3500,0.1046,222242.0000,-8.4000,-1.0000,0.2994
2024-02,9.5000,0.2000,9.1659,6.8284,2.1650,0.1235,221329.0000,-2.8000,-0.8000,0.2849
2024-03,9.0000,-0.1000,8.9206,6.6305,2.4000,0.1648,212918.0000,-7.5000,-0.9000,0.3884
2024-04,8.7000,1.7000,8.5985,6.2957,2.0770,0.0729,206351.0000,-7.2000,0.8000,0.3996
2024-05,8.3000,-0.4000,8.6430,6.3504,1.9500,0.0543,205269.0000,-8.6000,0.4000,0.4939
2024-06,8.4000,-0.9000,8.7108,6.5050,2.3100,0.2118,201247.0000,-11.2000,-0.5000,0.5723
2024-07,8.1000,0.0000,8.8339,6.6845,1.9500,0.0501,190761.0000,-11.2000,-0.5000,0.6242
2024-08,8.2000,-0.1000,9.2081,7.0377,1.9470,0.0584,189589.0000,-12.9000,-0.6000,0.6507
2024-09,8.1000,-0.3000,7.9051,5.7533,2.0500,0.1249,186588.0000,-13.6000,-0.9000,0.6928
2024-10,8.0000,0.7000,8.5837,6.4361,2.0100,0.1020,180961.0000,-14.2000,-0.2000,0.6994
2024-11,7.8000,0.3000,8.5106,6.4900,1.9000,0.0404,179089.0000,-13.6000,0.1000,0.6535
2024-12,7.8000,0.2000,8.2034,6.5282,2.2000,0.1734,173185.0000,-10.8000,0.3000,0.5382
2025-01,8.0000,-0.2000,8.5179,6.8880,2.5000,0.4301,170495.0000,-8.7000,0.1000,0.3784
2025-02,8.0000,-1.0000,8.4602,6.7450,2.4500,0.2508,174288.0000,-6.6000,-0.9000,0.2899
2025-03,8.2000,1.1000,8.4890,6.6761,2.3000,0.2015,171043.0000,-6.9000,0.2000,0.2466
2025-04,8.4000,0.3000,8.7032,7.0789,1.8790,0.0797,176357.0000,-5.4000,0.5000,0.1736
2025-05,8.7000,-1.5000,8.5251,6.8539,1.7500,0.0746,173892.0000,-6.5000,-1.0000,0.2095
2025-06,8.7000,0.5000,8.1037,6.4568,1.8500,0.1330,171618.0000,-5.6000,-0.5000,0.2834
2025-07,8.9000,0.2000,8.0386,6.3342,1.6280,0.0648,173291.0000,-3.7000,-0.3000,0.2849
2025-08,9.0000,-0.4000,7.5586,5.7207,1.5700,0.0411,169803.0000,-3.2000,-0.7000,0.4337
2025-09,8.8000,0.1000,7.5075,5.6470,1.6400,0.1248,165645.0000,-2.8000,-0.6000,0.3671
2025-10,8.7000,0.4000,7.5815,5.7861,1.6090,0.0633,161984.0000,-1.2000,-0.2000,0.3932
2025-11,8.5000,-0.8000,7.6687,5.8275,1.5400,0.0298,158865.0000,-2.0000,-1.0000,0.4229
2025-12,8.5000,0.2000,7.4963,5.6490,1.8000,0.2010,157745.0000,-3.1000,-0.8000,0.4868
2026-01,8.3000,0.9000,7.4794,5.6682,1.6300,0.0531,159147.0000,-4.7000,0.1000,0.4347
2026-02,8.2000,-0.8000,7.5019,5.7142,1.6260,0.0569,155969.0000,-4.1000,-0.7000,0.4239
2026-03,8.2000,-0.3000,7.5188,5.7017,1.5290,0.0171,157899.0000,-3.1000,-1.0000,0.5425
2026-04,7.9000,1.4000,7.2202,5.4729,1.4200,0.0192,151187.0000,-3.4000,0.4000,0.4921
2026-05,7.8000,-0.1000,7.2464,5.5374,1.4000,0.0179,146297.0000,-3.6000,0.3000,0.4834
2026-06,7.7000,-0.3000,7.2622,5.5292,1.5400,0.0612,145339.0000,-3.1000,0.0000,0.4863
2026-07,7.4000,0.3000,7.3099,5.5958,1.4980,0.0282,139389.0000,-4.0000,0.3000,0.4535
