variable_id,variable_name_cn,variable_role,direct_model_use,canonical_source,source_date_column,source_value_column,series_filter,source_owner,definition_regime,definition_version,economic_block,frequency,unit,reference_period_type,release_rule_code,release_rule_param,release_date_rule,quality_grade,model_tier,status,vintage_status,dependencies,derivation_formula,observed_start,observed_end,special_rules,notes,persistence_policy,max_stale_months,weight_base_regime,acquisition_source,source_computed,pit_eligible,backtest_eligible
val.pe_ttm,沪深300滚动市盈率(TTM),RAW_FEATURE,TRUE,hs300_pe_lg.csv,日期,滚动市盈率,,乐咕乐股,PE_TTM,v1.1,Valuation,daily,倍,交易日,T0_CLOSE,,T+0收盘当日可用,A,Baseline,CANONICAL,CURRENT,,,2008-01-02,2026-08-24,,估值锚; EY=1/PE; 弃静态/中位/等权,MARKET_LAST_VALID,,,,,TRUE,TRUE
val.pb,沪深300市净率,RAW_FEATURE,TRUE,hs300_pb_lg.csv,日期,市净率,,乐咕乐股,PB_CURRENT,v1.1,Valuation,daily,倍,交易日,T0_CLOSE,,T+0,A,Baseline,CANONICAL,CURRENT,,,2008-01-02,2026-08-24,,估值锚,MARKET_LAST_VALID,,,,,TRUE,TRUE
val.pe_static,沪深300静态市盈率,RAW_FEATURE,FALSE,hs300_pe_lg.csv,日期,静态市盈率,,乐咕乐股,PE_STATIC,v1.1,Valuation,daily,倍,交易日,T0_CLOSE,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-01-02,2026-08-24,,口径参考,MARKET_LAST_VALID,,,,,TRUE,TRUE
val.pe_median,沪深300市盈率中位数,RAW_FEATURE,FALSE,hs300_pe_lg.csv,日期,滚动市盈率中位数,,乐咕乐股,PE_MEDIAN,v1.1,Valuation,daily,倍,交易日,T0_CLOSE,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-01-02,2026-08-24,,横截面分布参考,MARKET_LAST_VALID,,,,,TRUE,TRUE
rate.cn10y,中国10年国债收益率,RAW_FEATURE,TRUE,china_bond_yield.csv,日期,中国国债收益率10年,,中债/英为财情,CN_BOND_CURRENT,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0收盘当日可用,A,Baseline,CANONICAL,CURRENT,,,2008-01-02,2026-08-24,节假日NA不插值; 月末last valid,利率主锚,MARKET_LAST_VALID,,,,,TRUE,TRUE
rate.cn2y,中国2年国债收益率,RAW_FEATURE,TRUE,china_bond_yield.csv,日期,中国国债收益率2年,,中债/英为财情,CN_BOND_CURRENT,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0,A,Baseline,CANONICAL,CURRENT,,,2008-01-02,2026-08-24,节假日NA不插值,期限利差构成,MARKET_LAST_VALID,,,,,TRUE,TRUE
rate.cn10y2y,中国10Y-2Y期限利差,DERIVED_FEATURE,TRUE,(derived),,,,构造,DERIVED_V1,v1.1,Rates,monthly,pp,月末,DERIVED_IN_25,,Step2.5构造; 上游预计算列仅QA,A,Baseline,CANONICAL,CURRENT,rate.cn10y;rate.cn2y,cn10y - cn2y,,,,由canonical 2Y/10Y重算保证日期与缺失一致,,,,,,TRUE,TRUE
rate.cn5y,中国5年国债收益率,RAW_FEATURE,FALSE,china_bond_yield.csv,日期,中国国债收益率5年,,中债/英为财情,CN_BOND_CURRENT,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-01-02,2026-08-24,,,MARKET_LAST_VALID,,,,,TRUE,TRUE
rate.cn30y,中国30年国债收益率,RAW_FEATURE,FALSE,china_bond_yield.csv,日期,中国国债收益率30年,,中债/英为财情,CN_BOND_CURRENT,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-01-02,2026-08-24,,,MARKET_LAST_VALID,,,,,TRUE,TRUE
rate.us10y,美国10年国债收益率,RAW_FEATURE,FALSE,china_bond_yield.csv,日期,美国国债收益率10年,,英为财情,US_BOND_CURRENT,v1.1,Rates,daily,%,交易日,FOREIGN_MARKET_T1_ASIA,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-01-02,2026-08-24,,"中美利差/扩展用; 跨时区: 美国D日收盘中国D+1可知(PIT层 FOREIGN_MARKET_T1_ASIA, 审核P1-1)",MARKET_LAST_VALID,,,,,TRUE,TRUE
rate.fr007,FR007回购定盘利率,RAW_FEATURE,FALSE,fr_fixing_rates.csv,date,FR007,,中国货币网,FR_CURRENT,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0,A,Baseline,CANONICAL,CURRENT,,,2006-01-04,2026-08-25,月均值覆盖率<80%标NA,短端资金主利率; 模型用fr007_monthly,PERIODIC_REQUIRE_FRESHNESS,1,,,,TRUE,TRUE
rate.fr007_monthly,FR007月均值,DERIVED_FEATURE,TRUE,(derived),,,,构造,DERIVED_V1,v1.1,Rates,monthly,%,自然月,DERIVED_IN_24,,Step2.4月聚合生成,A,Baseline,CANONICAL,CURRENT,rate.fr007,monthly_mean(FR007); 覆盖率<80%→NA,,,,审核候选集成员,,,,,,TRUE,TRUE
rate.fdr007,FDR007回购定盘利率,RAW_FEATURE,TRUE,fr_fixing_rates.csv,date,FDR007,,中国货币网,FDR_CURRENT,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0,A,Extended,CANONICAL,CURRENT,,,2017-05-31,2025-12-31,2026缺勿forward-fill,存款类机构资金价,PERIODIC_REQUIRE_FRESHNESS,1,,,,TRUE,TRUE
rate.shibor3m,SHIBOR 3M,RAW_FEATURE,TRUE,shibor_daily_canonical.csv,date,3M,,chinamoney官方,SHIBOR_CURRENT,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0,A,Extended,SUPPLEMENTAL,MIXED,,,2006-10-08,2026-08-25,"2006-Q4段TRIAL(试运行), 正式模型从2007-01起",Baseline备选(FR007优先); canonical 4555天,PERIODIC_REQUIRE_FRESHNESS,1,,,,TRUE,TRUE
rate.shibor_on,SHIBOR O/N,RAW_FEATURE,FALSE,shibor_daily_canonical.csv,date,O/N,,chinamoney官方,SHIBOR_CURRENT,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0,A,Extended,SUPPLEMENTAL,MIXED,,,2006-10-08,2026-08-25,2006-Q4 TRIAL,隔夜资金价,PERIODIC_REQUIRE_FRESHNESS,1,,,,TRUE,TRUE
rate.shibor_quarterly,SHIBOR季度末(核验),AUDIT_ONLY,FALSE,shibor_quarterly.csv,季度末实际交易日,3个月SHIBOR(%),,chinamoney官方,SHIBOR_CURRENT,v1.1,Rates,quarterly,%,季度末交易日,T0_CLOSE,,T+0,A,None,LINEAGE_ONLY,MIXED,,,2006-Q4,2026-Q2,2006-Q4=TRIAL,仅核验; canonical日度优先,,,,,,TRUE,TRUE
rate.shibor_rates_v2,SHIBOR日度(v2 akshare),AUDIT_ONLY,FALSE,shibor_rates.csv,日期,3M-定价,,akshare转引,SHIBOR_V2,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0,B,None,LINEAGE_ONLY,CURRENT,,,2015-05-08,2026-08-24,稀疏(2015-05→2017-03跳跃),已被canonical替代,,,,,,TRUE,TRUE
rate.shibor_2006_2015,SHIBOR官方日度(2006-2015段),AUDIT_ONLY,FALSE,shibor_official_daily_2006_2015.csv,date,3M,,chinamoney官方,SHIBOR_CURRENT,v1.1,Rates,daily,%,交易日,T0_CLOSE,,T+0,A,None,LINEAGE_ONLY,CURRENT,,,2006-10-08,2015-12-31,,canonical组成部分,,,,,,TRUE,TRUE
rate.policy7d,7天逆回购政策利率,EVENT_STATE,TRUE,reverse_repo_7d_events.csv,生效日期,利率(%),,中国人民银行,7D_REPO_CURRENT,v1.1,Rates,event,%,生效日,EVENT_EFFECTIVE_DATE,,事件生效日,A,Extended,CANONICAL,CURRENT,,,2015-01-22,2026-07-31,事件间forward-fill合法; 2015段A-锚点印证,2024-07-22起为主要政策利率,EVENT_PERSIST_UNTIL_NEXT,,,,,TRUE,TRUE
rate.lpr1y,LPR 1年期,EVENT_STATE,TRUE,lpr_rate.csv,TRADE_DATE,LPR1Y,,全国银行间同业拆借中心,LPR_2019_REFORM,v1.1,Rates,event,%,公布日,EVENT_EFFECTIVE_DATE,,"官方公布日; 2019-08+改革后LPR, 按实际发布事件去重",A,Extended,CANONICAL,CURRENT,,,2019-08-20,2026-08-20,仅取2019-08+改革后LPR; 1991-2019贷款基准(RATE_1)另表,贷款定价锚,EVENT_PERSIST_UNTIL_NEXT,,,,,TRUE,TRUE
rate.lpr5y,LPR 5年期,EVENT_STATE,TRUE,lpr_rate.csv,TRADE_DATE,LPR5Y,,全国银行间同业拆借中心,LPR_2019_REFORM,v1.1,Rates,event,%,公布日,EVENT_EFFECTIVE_DATE,,"官方公布日; 2019-08+ reform LPR only, dedupe by event",A,Extended,CANONICAL,CURRENT,,,2019-08-20,2026-08-20,同lpr1y过滤规则,,EVENT_PERSIST_UNTIL_NEXT,,,,,TRUE,TRUE
rate.lpr_events,LPR事件表,AUDIT_ONLY,FALSE,lpr_rate_regime_events.csv,date,rate,,全国银行间同业拆借中心,DERIVED_LPR_EVENT_TABLE_V1,v1.1,Rates,event,%,生效日,EVENT_EFFECTIVE_DATE,,官方,B,None,LINEAGE_ONLY,CURRENT,,,1991-04-21,2025-05-20,,lpr_rate的regime标注,,,,,,TRUE,TRUE
rate.rrr,存款准备金率(大型),EVENT_STATE,FALSE,reserve_requirement_ratio.csv,生效时间,大型金融机构-调整后,,中国人民银行,RRR_CURRENT,v1.1,Rates,event,%,生效时间,EVENT_EFFECTIVE_DATE,,官方生效日,B,Extended,SUPPLEMENTAL,CURRENT,,,2007-01-05,2025-05-15,倒序存储需反转; 事件型,58条,EVENT_PERSIST_UNTIL_NEXT,,,,,TRUE,TRUE
gro.ip_yoy,工业增加值同比,RAW_FEATURE,TRUE,macro_industrial_production.csv,参考期(reference_period),工业增加值同比(%),,国家统计局,IP_CURRENT,v1.1,Growth,monthly,%,参考月,REF_MONTH_END_PLUS_DAYS,20,月末+20d保守时滞(imputed=1),A,Baseline,CANONICAL,CURRENT,,,2008-02,2026-07,release_date不可靠段已保守处理,,PERIODIC_REQUIRE_FRESHNESS,3,,,,TRUE,TRUE
gro.ip_cum_yoy,工业增加值累计同比,RAW_FEATURE,FALSE,macro_industrial_production.csv,参考期(reference_period),工业增加值累计同比(%),,国家统计局,IP_CURRENT,v1.1,Growth,monthly,%,参考月,REF_MONTH_END_PLUS_DAYS,20,月末+20d保守时滞,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-02,2026-07,,,PERIODIC_REQUIRE_FRESHNESS,3,,,,TRUE,TRUE
gro.pmi,制造业PMI,RAW_FEATURE,TRUE,macro_pmi.csv,月份,制造业-指数,,国家统计局,PMI_CURRENT_METHOD,v1.1,Growth,monthly,指数,参考月,SOURCE_RELEASE_DATE,,官方发布(月末),A,Baseline,CANONICAL,CURRENT,,,2008-01,2026-07,PMIGap=PMI-50; 勿构造PMI同比,已季调,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
gro.pmi_production,PMI生产指数,RAW_FEATURE,TRUE,nbs_pmi_archive.csv,月份,值,指标==生产指数,国家统计局,PMI_CURRENT_METHOD,v1.1,Growth,monthly,指数,参考月,NEXT_MONTH_CONSERVATIVE,,PDF段(2017-12~2021-08)保守时滞; 2021-09起官方,B,Extended,CANONICAL,CURRENT,,,2017-12,2026-07,,审核P0-6拆分,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
gro.pmi_new_orders,PMI新订单指数,RAW_FEATURE,TRUE,nbs_pmi_archive.csv,月份,值,指标==新订单指数,国家统计局,PMI_CURRENT_METHOD,v1.1,Growth,monthly,指数,参考月,NEXT_MONTH_CONSERVATIVE,,同上,B,Extended,CANONICAL,CURRENT,,,2017-12,2026-07,,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
gro.pmi_raw_material_inventory,PMI原材料库存指数,RAW_FEATURE,TRUE,nbs_pmi_archive.csv,月份,值,指标==原材料库存指数,国家统计局,PMI_CURRENT_METHOD,v1.1,Growth,monthly,指数,参考月,NEXT_MONTH_CONSERVATIVE,,同上,B,Extended,CANONICAL,CURRENT,,,2017-12,2026-07,,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
gro.pmi_employment,PMI从业人员指数,RAW_FEATURE,TRUE,nbs_pmi_archive.csv,月份,值,指标==从业人员指数,国家统计局,PMI_CURRENT_METHOD,v1.1,Growth,monthly,指数,参考月,NEXT_MONTH_CONSERVATIVE,,同上,B,Extended,CANONICAL,CURRENT,,,2017-12,2026-07,,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
gro.pmi_supplier_delivery,PMI供应商配送时间指数,RAW_FEATURE,TRUE,nbs_pmi_archive.csv,月份,值,指标==供应商配送时间指数,国家统计局,PMI_CURRENT_METHOD,v1.1,Growth,monthly,指数,参考月,NEXT_MONTH_CONSERVATIVE,,同上,B,Extended,CANONICAL,CURRENT,,,2017-12,2026-07,逆指数(合成时反向),,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
gro.pmi_nonmanufacturing,PMI非制造业商务活动指数,RAW_FEATURE,TRUE,nbs_pmi_archive.csv,月份,值,指标==非制造业商务活动指数,国家统计局,PMI_CURRENT_METHOD,v1.1,Growth,monthly,指数,参考月,SOURCE_RELEASE_DATE,,官方,B,Extended,SUPPLEMENTAL,CURRENT,,,2021-09,2026-07,,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
gro.pmi_composite,PMI综合产出指数,RAW_FEATURE,TRUE,nbs_pmi_archive.csv,月份,值,指标==综合PMI产出指数,国家统计局,PMI_CURRENT_METHOD,v1.1,Growth,monthly,指数,参考月,SOURCE_RELEASE_DATE,,官方,B,Extended,SUPPLEMENTAL,CURRENT,,,2021-09,2026-07,,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
gro.retail_yoy,社会消费品零售同比,RAW_FEATURE,TRUE,macro_retail_sales.csv,月份,同比增长,,国家统计局,RETAIL_CURRENT,v1.1,Growth,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方发布日(次月中下旬),A,Baseline,CANONICAL,CURRENT,,,2008-01,2026-07,"1-2月合并: 1月持上次信息, 2月发布后更新",官方2026-07=0.6%,PERIODIC_REQUIRE_FRESHNESS,3,,,,TRUE,TRUE
gro.retail_sa_mom,社零季调环比(官方),RAW_FEATURE,FALSE,manual_retail_sa_mom.csv,date,retail_sa_mom_pct,,国家统计局,RETAIL_SA_CURRENT,v1.1,Growth,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方发布日,A,Current,SUPPLEMENTAL,REVISED_HISTORY,,,2021-08,2026-07,修订终值序列不进PIT backtest(审核P0-1); pit_eligible=false; backtest_eligible=false; 仅research/descriptive,官方滚动修订序列; 恢复首次发布vintage前不得入模型候选路径; manual_retail_sa_mom全量替换,PERIODIC_REQUIRE_FRESHNESS,0,,MANUAL_EXTERNAL,,FALSE,FALSE
gro.gdp_yoy,GDP同比(累计),RAW_FEATURE,FALSE,macro_gdp_quarterly.csv,季度,国内生产总值-同比增长,,国家统计局,GDP_CUMULATIVE,v1.1,Growth,quarterly,%,季度(累计),QUARTER_SOURCE_RELEASE,,季度发布后可用,A,Baseline,CANONICAL,CURRENT,,,2006Q1,2026Q2,slow-moving state; 勿制造月度GDP; 勿把累计同比相减当单季,,LOW_FREQ_HOLD_WITH_STALE,,,,,TRUE,TRUE
gro.gdp_yoy_latest_known,GDP同比(最近已知),DERIVED_FEATURE,TRUE,(derived),,,,构造,DERIVED_V1,v1.1,Growth,monthly,%,月末,DERIVED_IN_24,,Step2.4季度→月末last released state,A,Baseline,CANONICAL,CURRENT,gro.gdp_yoy,last_released_state; +stale_age,,,,审核候选集成员,,,,,,TRUE,TRUE
gro.gdp_abs,GDP绝对值(累计),RAW_FEATURE,FALSE,macro_gdp_quarterly.csv,季度,国内生产总值-绝对值,,国家统计局,GDP_CUMULATIVE,v1.1,Growth,quarterly,亿元,季度(累计),QUARTER_SOURCE_RELEASE,,季度发布后,B,Extended,SUPPLEMENTAL,CURRENT,,,2006Q1,2026Q2,可相减得单季名义,,LOW_FREQ_HOLD_WITH_STALE,,,,,TRUE,TRUE
gro.fai_cum,固投自年初累计(仅核对),AUDIT_ONLY,FALSE,macro_fixed_investment.csv,参考期,自年初累计,,国家统计局(akshare),FAI_LEGACY,v1.1,Growth,monthly,亿元,参考月,SOURCE_RELEASE_DATE,,官方,C,None,LINEAGE_ONLY,CURRENT,,,2012-02,2026-07,仅核对用,派生同比列禁用,,,,,,TRUE,TRUE
gro.fai_yoy_derived,固投累计同比(接口派生),AUDIT_ONLY,FALSE,macro_fixed_investment.csv,参考期,累计同比_接口派生非官方,,akshare派生(非官方),FAI_LEGACY,v1.1,Growth,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方,D,None,EXCLUDED,CURRENT,,,2012-02,2026-07,禁止入模型(官方-6.7% vs 派生-14.19%),审核3.3明令禁止,,,,,,TRUE,TRUE
gro.fai_mom_raw,固投当月环比(原始非季调),AUDIT_ONLY,FALSE,macro_fixed_investment.csv,参考期,当月环比_原始金额非季调,,原始金额计算(非季调),FAI_LEGACY,v1.1,Growth,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方,D,None,EXCLUDED,CURRENT,,,2012-02,2026-07,禁止入模型(官方-1.42% vs 原始-29.04%),审核3.3明令禁止,,,,,,TRUE,TRUE
gro.fai_official_cum,固投官方累计同比,RAW_FEATURE,TRUE,nbs_monthly_archive.csv,reference_period,value,指标==固投累计同比,国家统计局,FAI_OFFICIAL,v1.1,Growth,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方发布日,A,Current,SUPPLEMENTAL,CURRENT,,,2021-08,2026-07,仅2021-08起,Baseline暂不用FAI,PERIODIC_REQUIRE_FRESHNESS,3,,,,TRUE,TRUE
gro.fai_official_samom,固投官方季调环比,RAW_FEATURE,FALSE,manual_fai_sa_mom.csv,date,fai_sa_mom_pct,,国家统计局,FAI_OFFICIAL,v1.1,Growth,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方发布日,A,Current,SUPPLEMENTAL,REVISED_HISTORY,,,2021-01,2026-07,修订终值序列不进PIT backtest(审核P0-1); pit_eligible=false; backtest_eligible=false,官方滚动修订序列(2022-11修订2.1pp实证); 恢复vintage前不入模型; manual_fai_sa_mom全量替换,PERIODIC_REQUIRE_FRESHNESS,3,,MANUAL_EXTERNAL,,FALSE,FALSE
gro.export_yoy,出口同比,RAW_FEATURE,FALSE,macro_exports_yoy.csv,发布日期(release_date),出口同比(%),,海关总署(经济日历转引),TRADE_ECON_CALENDAR,v1.1,Growth,monthly,%,参考期,SOURCE_RELEASE_DATE,,经济日历release_date,B,Extended,SUPPLEMENTAL,CURRENT,,,1982-01,2026-07,,升级核心前须验证增量,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
gro.import_yoy,进口同比,RAW_FEATURE,FALSE,macro_imports_yoy.csv,发布日期(release_date),进口同比(%),,海关总署(经济日历转引),TRADE_ECON_CALENDAR,v1.1,Growth,monthly,%,参考期,SOURCE_RELEASE_DATE,,经济日历release_date,B,Extended,SUPPLEMENTAL,CURRENT,,,1996-01,2026-07,,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
inf.cpi_yoy,CPI同比,RAW_FEATURE,TRUE,cpi_index.csv,月份,全国-同比增长,,国家统计局,CPI_CURRENT,v1.1,Inflation,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方发布日(次月9-10日),A,Baseline,CANONICAL,CURRENT,,,2008-01,2026-07,,当月值列=100+同比口径,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
inf.ppi_yoy,PPI同比,RAW_FEATURE,TRUE,ppi_index.csv,月份,当月同比增长,,国家统计局,PPI_CURRENT,v1.1,Inflation,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方发布日,A,Baseline,CANONICAL,CURRENT,,,2006-01,2026-07,,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
inf.cpi_core,核心CPI同比,RAW_FEATURE,TRUE,manual_core_cpi.csv,date,core_cpi_yoy_pct,,国家统计局,CPI_CORE_CURRENT,v1.1,Inflation,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方发布日,A,Current,SUPPLEMENTAL,CURRENT,,,2021-01,2026-07,官方口径=不包括食品和能源(上年同月=100); 缺口已补(manual_core_cpi)全量替换,max_stale保持0(审核P0-2: 缺口补齐不改stale语义); 锚点2021-10=1.3/2026-07=0.9核验过,PERIODIC_REQUIRE_FRESHNESS,0,,MANUAL_EXTERNAL,,TRUE,TRUE
inf.ppirm,PPIRM同比(工业生产者购进价格),RAW_FEATURE,TRUE,manual_ppirm.csv,date,ppirm_yoy_pct,,国家统计局,PPIRM_CURRENT,v1.1,Inflation,monthly,%,参考月,SOURCE_RELEASE_DATE,,官方发布日,A,Current,SUPPLEMENTAL,CURRENT,,,2021-01,2026-07,Archive仅2026-07一条; 2021-08~2026-06未归档=SOURCE_GAP,2021-01基期切换(官方称影响~0.05pp); 不机械拆regime(审核P1-7); max_stale保持0; manual_ppirm全量替换,PERIODIC_REQUIRE_FRESHNESS,0,2015_BASE→2020_BASE@2021-01,MANUAL_EXTERNAL,,TRUE,TRUE
liq.m2_yoy,M2同比,RAW_FEATURE,TRUE,money_supply_m0m1m2.csv,月份,M2_同比(%),,中国人民银行,M2_CURRENT,v1.1,Liquidity,monthly,%,参考月末,SOURCE_RELEASE_DATE,,官方发布日(次月中下旬),A,Baseline,CANONICAL,CURRENT,,,2008-01,2026-07,用同比非余额水平,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
liq.m1_yoy,M1同比,RAW_FEATURE,FALSE,money_supply_m0m1m2.csv,月份,M1_同比(%),,中国人民银行,M1_PRE_2025,v1.1,Liquidity,monthly,%,参考月末,SOURCE_RELEASE_DATE,,官方发布日,A,Extended,SUPPLEMENTAL,DEFINITION_BREAK,,,2008-01,2026-07,2025-01起新口径(含个人活期+备付金); 分regime处理,2008-2024旧口径,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
liq.m1_new,M1新口径可比(2024+),RAW_FEATURE,TRUE,m1_new_caliber_2024.csv,月份,M1可比同比(%),,中国人民银行,M1_2025_NEW,v1.1,Liquidity,monthly,%,参考月末,SOURCE_RELEASE_DATE,,2025年回溯公布,A,Current,CURRENT_ONLY,RETROSPECTIVE_COMPARABLE,,,2024-01,2024-12,"2024可比值为回溯值, 禁入2024实时回测",12个月,HISTORY_SNAPSHOT_ONLY,,,,,TRUE,TRUE
liq.m1_m2_gap,M1-M2剪刀差,DERIVED_FEATURE,TRUE,(derived),,,,构造,DERIVED_V1,v1.1,Liquidity,monthly,pp,参考月末,DERIVED_IN_25,,Step2.5构造,B,Extended,CANONICAL,DEFINITION_BREAK,liq.m1_yoy;liq.m2_yoy,m1_yoy - m2_yoy,,,继承M1定义断点; 分regime计算百分位,领先性为待实证检验假设(非既定事实),,,,,,TRUE,TRUE
liq.m0_yoy,M0同比,RAW_FEATURE,FALSE,money_supply_m0m1m2.csv,月份,M0_同比(%),,中国人民银行,M0_CURRENT,v1.1,Liquidity,monthly,%,参考月末,SOURCE_RELEASE_DATE,,官方发布日,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-01,2026-07,,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
