country,registry_variable,std_variable,std_file,status,n_expected,n_obs,n_valid_in_window,missing_years,coverage_ratio,semantic_status,required_h3_transform,note
jp,jp.hist.corp_leverage,-,-,NOT_MAPPED,,,,,,,,liabilities/assets同源historical.xls
jp,jp.hist.credit_gdp,credit_stock_level,annual_jp_credit_stock_level.csv,FULL_WINDOW,26,62,26,,1.0,PROXY_STOCK,stock level; D01 note,JP0实证CRDQJPAPABIS 1964Q4起100%; 项目未采(JP1未用); 作为bank credit第二阶段候选; 勿与JP1.5 credit混
jp,jp.hist.export_yoy,export_yoy,annual_jp_export_yoy.csv,FULL_WINDOW,26,74,26,,1.0,EXACT,,1950年起年度表2026-09-06实证(1950-2024完整); FRED镜像XTEXVA01 1955+已持
jp,jp.hist.trade_balance_gdp,trade_balance_level,annual_jp_trade_balance_level.csv,FULL_WINDOW,26,75,26,,1.0,PRE_TRANSFORM,level -> /GDP in H3,分子Customs年度、分母ESRI GDP; 或直接FRED NETTRADE_SA 1955+已持
jp,jp.hist.fx_usdjpy,fx_usdjpy_level,annual_jp_fx_usdjpy_level.csv,FULL_WINDOW,26,70,26,,1.0,EXACT,,JP0实证CCUSMA02JPM618N 1957+月均835月100%; USDJPY_DAILY 1971+已持; 汇率非绝对可比
jp,jp.hist.reer,reer_level,annual_jp_reer_level.csv,PARTIAL_WINDOW,26,33,2,"1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993",0.077,EXACT,,JP0实证RNJPBIS 1964+月均100%
jp,jp.hist.land_price_yoy,land_price_yoy,annual_jp_land_price_yoy.csv,PARTIAL_WINDOW,26,52,21,"1970,1971,1972,1973,1974",0.808,EXACT,,"H0.7定案: MLIT公示地価=canonical(官方/Excel直下/许可自由/定义稳定), JREI=1959+cross-check(历史长但公开PD"
jp,jp.hist.nikkei_return,equity_return,annual_jp_equity_return.csv,FULL_WINDOW,26,78,26,,1.0,EXACT,,JP0实证NIKKEI225 1949-05-16起20170行; 项目已持日次全史; return/drawdown层
jp,jp.hist.working_age_growth,working_age_growth_anchor,annual_jp_working_age_growth_anchor.csv,ANCHOR_COVERAGE,26,26,6,"1971,1972,1973,1974,1976,1977,1978,1979,1981,1982,1983,1984,1986,1987,1988,1989,1991,1992,1993,1994",0.231,ANCHOR,anchor observations only,人口1920+官方; 年龄结构表每年; 待H1确认机器可读excel布局
jp,jp.hist.unemployment,unemployment,annual_jp_unemployment.csv,FULL_WINDOW,26,72,26,,1.0,EXACT,,官方长期1953+; 项目已持FRED LRUNTTTT 1955+858月; e-Stat页面实证
jp,jp.hist.wage_yoy,wage_yoy,annual_jp_wage_yoy.csv,FULL_WINDOW,26,72,26,,1.0,EXACT,,项目已持FRED WAGE_MFG 1955+856月(制造业时薪)/WAGE_PRIVATE 1970+; 官方源H1再核
jp,jp.hist.dependency_ratio,dependency_ratio,annual_jp_dependency_ratio.csv,ANCHOR_COVERAGE,26,27,6,"1971,1972,1973,1974,1976,1977,1978,1979,1981,1982,1983,1984,1986,1987,1988,1989,1991,1992,1993,1994",0.231,ANCHOR,anchor observations only,年龄结构派生
jp,jp.hist.corp_land_share,-,-,NOT_MAPPED,,,,,,,,"解释用(企业囤地→泡沫), 不进CN-JP similarity; CN无企业土地市值科目=CN_GAP_STRUCTURAL"
jp,jp.hist.tfr,tfr,annual_jp_tfr.csv,FULL_WINDOW,26,78,26,,1.0,EXACT,,"IPSS长表1947-2004+ e-Stat確定数至最新, 2026-09-06双源可达实证; CN官方无年度TFR→crosswalk层该概念eligibl"
jp,jp.hist.birth_rate,birth_rate,annual_jp_birth_rate.csv,FULL_WINDOW,26,123,26,,1.0,EXACT,,"CN统计年鉴出生率1949+官方年度——两国年度齐全, 真可比变量; 与CN CBR同列crosswalk"
jp,jp.hist.youth_dependency,youth_dependency,annual_jp_youth_dependency.csv,ANCHOR_COVERAGE,26,27,6,"1971,1972,1973,1974,1976,1977,1978,1979,1981,1982,1983,1984,1986,1987,1988,1989,1991,1992,1993,1994",0.231,ANCHOR,anchor observations only,与existing dependency_ratio(老年抚养)互补成抚养比双侧; 1920+
cn,cn.hist.real_gdp_yoy,real_gdp_yoy,annual_cn_real_gdp_yoy.csv,FULL_WINDOW,13,13,13,,1.0,EXACT,,2000-2008段官方有源未采(项目PIT从2008起); H1-P0 CN侧补采即可
cn,cn.hist.nominal_gdp_yoy,nominal_gdp_yoy,annual_cn_nominal_gdp_yoy.csv,PARTIAL_WINDOW,13,13,12,2000,0.923,EXACT,,
cn,cn.hist.investment_gdp,investment_gdp,annual_cn_investment_gdp.csv,FULL_WINDOW,13,35,13,,1.0,EXACT,,JP投资share为SNA口径; CN用资本形成率更可比(勿用FAI月度)
cn,cn.hist.iip_yoy,iip_yoy,annual_cn_iip_yoy.csv,FULL_WINDOW,13,25,13,,1.0,EXACT,,2000s早期规上工业增加值月度可得性需H1验证(有官方年鉴工业总产值年度兜底)
cn,cn.hist.corp_profit_yoy,-,-,NOT_MAPPED,,,,,,,,CN无全企业利润统计(仅规上工业/上市); 用GROWTH模式+注记口径差
cn,cn.hist.cpi_yoy,cpi_yoy,annual_cn_cpi_yoy.csv,FULL_WINDOW,13,22,13,,1.0,EXACT,,2000-2008段官方月度有源未采
cn,cn.hist.gdp_deflator_yoy,-,-,NOT_MAPPED,,,,,,,,名义/实际GDP派生
cn,cn.hist.m2_yoy,m2_yoy,annual_cn_m2_yoy.csv,FULL_WINDOW,13,22,13,,1.0,EXACT,,1996-2007段央行月报/年鉴可采; FRED CN M2亦1960s+但口径注意(IMF镜像)
cn,cn.hist.policy_rate,-,-,NOT_MAPPED,,,,,,,,制度不可绝对映射(JP ODR vs CN基准/LPR/DR007); 必须PERCENTILE_ONLY; 2000s用1Y贷款基准利率作proxy
cn,cn.hist.cgb10y,-,-,NOT_MAPPED,,,,,,,,项目catalog cn10y 2008+(来源东财); 2002-2007官方中债曲线可回溯但需验证免费窗口
cn,cn.hist.corp_leverage,-,-,NOT_MAPPED,,,,,,,,工业部门代理(非全行业); percentile参与
cn,cn.hist.credit_gdp,credit_flow_level,annual_cn_credit_flow_level.csv,PARTIAL_WINDOW,13,11,11,"2000,2001",0.846,PROXY_FLOW,D01 scheme B: flow concept; level kept,JP对应BIS信贷1964+; CN社融官方起点2002(年度报告口径); 2000-2002窗短缺; 备选BIS CN信贷或人民币贷款余额(1990s+)
cn,cn.hist.export_yoy,export_yoy,annual_cn_export_yoy.csv,FULL_WINDOW,13,25,13,,1.0,EXACT,,2000-2008段官方有源未采
cn,cn.hist.trade_balance_gdp,trade_balance_level,annual_cn_trade_balance_level.csv,FULL_WINDOW,13,26,13,,1.0,PRE_TRANSFORM,level -> /GDP in H3,
cn,cn.hist.fx_usdcny,-,-,NOT_MAPPED,,,,,,,,JP 1971前固定汇率段同理——FX仅在浮动段可比(EVENT_ONLY/EXCL固定段)
cn,cn.hist.reer,reer_level,annual_cn_reer_level.csv,FULL_WINDOW,13,33,13,,1.0,EXACT,,FRED BIS系列可直达
cn,cn.hist.property_price_yoy,property_price_level,annual_cn_property_price_level.csv,FULL_WINDOW,13,15,13,,1.0,PRE_TRANSFORM,level -> YoY in H3,"JP=地价(1970+), CN官方无全国连续地价指数→用70城房价(住宅资产价格)作proxy并明确EVENT_ONLY/PERCENTILE边界; 2000"
cn,cn.hist.equity_return,equity_return,annual_cn_equity_return.csv,PARTIAL_WINDOW,13,8,7,"2000,2008,2009,2010,2011,2012",0.538,EXACT,,项目catalog hs300 2008+; JP-HIST需2000s→补上证综指1990s-2000s段; 项目已有sh000001(新浪)
cn,cn.hist.working_age_growth,working_age_growth,annual_cn_working_age_growth.csv,FULL_WINDOW,13,24,13,,1.0,EXACT,15-64 canonical annual,15-64 canonical (NBS 3-4 抚养比表口径); CN官方15-59/16-59仅为新闻披露口径definition break
cn,cn.hist.unemployment,-,-,NOT_MAPPED,,,,,,,,关键CN缺口: 2000-2017无ILO口径调查失业率(登记失业率制度不可比JP 1953+ LFS)→早期CN窗该变量NA; 只能2018+窗参与——结构性
cn,cn.hist.wage_yoy,wage_yoy,annual_cn_wage_yoy.csv,PARTIAL_WINDOW,13,13,12,2000,0.923,EXACT,,JP毎月勤労統計1954+月度vs CN年度平均工资——频率降级为Y; 2000s可得
cn,cn.hist.dependency_ratio,dependency_ratio,annual_cn_dependency_ratio.csv,FULL_WINDOW,13,25,13,,1.0,EXACT,,
cn,cn.hist.corp_land_share,-,-,NOT_MAPPED,,,,,,,,结构性恒缺: 不进入crosswalk/coverage分母; JP侧保留作解释变量
cn,cn.hist.tfr,-,-,NOT_MAPPED,,,,,,,,"官方年度TFR不存在(结构性); 只作普查锚点描述性对照, crosswalk层eligible=FALSE; 勿把推算源当官方年度序列"
cn,cn.hist.birth_rate,birth_rate,annual_cn_birth_rate.csv,FULL_WINDOW,13,34,13,,1.0,EXACT,,"两国官方年度齐全→crosswalk主变量; 注: CBR含年龄结构影响, 比较下降轨迹时与TFR锚点交叉验证"
cn,cn.hist.youth_dependency,youth_dependency,annual_cn_youth_dependency.csv,FULL_WINDOW,13,25,13,,1.0,EXACT,,统计年鉴总抚养比/少儿抚养比表(15-64口径)可用
