stage,artifact_id,artifact_name,artifact_sha256,artifact_role,parent_artifact_ids,parent_package,parent_package_sha256,artifact_internal_path,freeze_timestamp,run_started_at,run_completed_at,status,scope,verification_status
A2,Gate_machine_v1.2,Gate_machine_v1.2.txt,978268a758347151e2b5c7943b9a61e8cbc4c079d91a0b3e488bc12489a5ee7f,gate_output,leo_engine_v1.2;event_mask,JP-HIST_H6A2.2_PATCH_GateA2_20260907.zip,802222f5c395536f7d3365dd6b677bd6e865ab5d6962fcde4b4f42d40759b44e,02_Gate_machine_v1.2.txt,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A2,gate_a2_machine,gate_a2_machine.csv,0367a54e95bce63e300bd39f054bd8ae7c91f463d39fa9230c380e40e6bea3b0,gate_output,leo_engine_v1.2;event_mask,JP-HIST_H6A2.2_PATCH_GateA2_20260907.zip,802222f5c395536f7d3365dd6b677bd6e865ab5d6962fcde4b4f42d40759b44e,03_gate_a2_machine.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A2,baseline_differential,baseline_differential_test.csv,03afa3322d3a291c0cb664b0faf7bb15f566aed58beb381d098573172bc17a61,validation,leo_engine_v1.2;h4v03d_engine,JP-HIST_H6A2.1_PATCH_关闭P0P1_20260907.zip,ca14260b0ee604b5057dda977dcbfe6d963923b77a54c701ae26e03e906915ba,10_baseline_differential_test.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A3,resid_engine_v1.2,a3_resid_v1.2.py,f910b19678645b10f35bb5784c204132a0b91a45c7b36f228adb0b881ae72ea8,resid_engine,global_factors;leo_engine_v1.2;Gate_machine_v1.2,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,a3_resid_v1.2.py,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_A5_PACKAGE
A3,gateA3_machine_v1.2,a3_gateA3_machine_v1.2.csv,de875c34a3c3d2fd2c59acd26a0bab904da519ea7ca35a14b1fd542582a22627,gate_output,resid_engine_v1.2;global_factors;leo_engine_v1.2,JP-HIST_H6A3.2_PATCH_审核包_20260907.zip,9cca7796886ce5f6893e4b8e5ffec4232946504a352cb92b4fa4489e71d4f616,05_a3_gateA3_machine_v1.2.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A3,mechanism_recon_v1.2,a3_mechanism_reconciliation_v1.2.csv,9dc9fedc3badbdd5363f46d2e89b627f3b8d89d1ec248a29b2bdc9ea469b6fb9,result,resid_engine_v1.2;global_factors,JP-HIST_H6A3.2_PATCH_审核包_20260907.zip,9cca7796886ce5f6893e4b8e5ffec4232946504a352cb92b4fa4489e71d4f616,04_a3_mechanism_reconciliation_v1.2.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A3,bootstrap_val_v1.2,a3_bootstrap_validation_v1.2.csv,c240ba0bc9f053a30dd6a4dcb85e50e05e752cc0d5dc7df9d4c626ef46daac73,inference,resid_engine_v1.2;mechanism_recon_v1.2,JP-HIST_H6A3.2_PATCH_审核包_20260907.zip,9cca7796886ce5f6893e4b8e5ffec4232946504a352cb92b4fa4489e71d4f616,06_a3_bootstrap_validation_v1.2.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A3,perm_val_v1.2,a3_permutation_validation_v1.2.csv,e166f17af15e69915fa990f308e098197a88ee896d0caee7dd75ae24e649863f,inference,resid_engine_v1.2;mechanism_recon_v1.2,JP-HIST_H6A3.2_PATCH_审核包_20260907.zip,9cca7796886ce5f6893e4b8e5ffec4232946504a352cb92b4fa4489e71d4f616,07_a3_permutation_validation_v1.2.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A4,a4_method_spec_v1.1,h6a_a4_method_spec_v1.1.md,dae4586826bc202738dba6bbe123e99829aeb321fc8122a5cc9dc0189e774a23,method_spec,h6a_spec_FROZEN_v1.1,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,h6a_a4_method_spec_v1.1.md,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_A5_PACKAGE
A4,bp_engine_v1.2,a4_bp_v1.2.py,e33bddeb31ae5fd8fa460b86b16b908ba0b696d0e28ec649032741cc0e82aae4,bp_engine,a4_method_spec_v1.1;global_factors,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,a4_bp_v1.2.py,2026-09-07,2026-09-07T16:14:37Z,2026-09-07T16:14:45Z,FROZEN,H6A,VERIFIED_IN_A5_PACKAGE
A4,breaks_primary,a4_breaks_primary.csv,d21a6494e63786e0d57dca2911bec58e8a21fe5cd33ccd4004bf3b13bf232906,result,bp_engine_v1.2;a4_method_spec_v1.1,JP-HIST_H6A4.3_PATCH_审核包_20260907.zip,4f92e0a0999ddf2d3049fc7adafe8a7f7b9023a15fbfcfba906bd3ed42b2fa62,05_a4_breaks_primary.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A4,criterion_sensitivity,a4_criterion_sensitivity.csv,ea738285cd446113864d11cbc999e82423c8d9f8bd1465355cc4d3d311c7add2,sensitivity,bp_engine_v1.2;a4_method_spec_v1.1,JP-HIST_H6A4.3_PATCH_审核包_20260907.zip,4f92e0a0999ddf2d3049fc7adafe8a7f7b9023a15fbfcfba906bd3ed42b2fa62,07_a4_criterion_sensitivity.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A4,mmax_sensitivity,a4_mmax_sensitivity.csv,8179ef8b2ea3dfe390fe5db88e1345ce5c91ea56747a6dd0f59a39876fb991e5,sensitivity,bp_engine_v1.2;a4_method_spec_v1.1,JP-HIST_H6A4.3_PATCH_审核包_20260907.zip,4f92e0a0999ddf2d3049fc7adafe8a7f7b9023a15fbfcfba906bd3ed42b2fa62,08_a4_mmax_sensitivity.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A4,a4_freeze_meta,a4_method_freeze_meta.csv,9c7d61e576bd9c3798d286fba0ed146d04a163cdc495df45a8dbb7aefcf9a10f,freeze_meta,bp_engine_v1.2;a4_method_spec_v1.1,JP-HIST_H6A4.3_PATCH_审核包_20260907.zip,4f92e0a0999ddf2d3049fc7adafe8a7f7b9023a15fbfcfba906bd3ed42b2fa62,04_a4_method_freeze_meta.csv,2026-09-07,2026-09-07T16:14:37Z,2026-09-07T16:14:45Z,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A2,FREEZE_H6A2,FREEZE_H6A2_20260907.txt,b52db1e3c0eb51ee96d3c73fa153fa0f78b26a95c8f713556867aba82405826b,stage_freeze,leo_engine_v1.2;Gate_machine_v1.2;gate_a2_machine,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,FREEZE_H6A2_20260907.txt,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_A5_PACKAGE
A3,FREEZE_H6A3,FREEZE_H6A3_20260907.txt,a54899e7440e291685cb1a9dc9fe6eaae7492107fcda3e6af255fa895107b82e,stage_freeze,resid_engine_v1.2;gateA3_machine_v1.2;mechanism_recon_v1.2,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,FREEZE_H6A3_20260907.txt,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_A5_PACKAGE
A4,FREEZE_H6A4,FREEZE_H6A4_20260907.txt,64a5961bb2eca7302598f367ef11226d72e6cfadd72cc75511582b8b930e67d2,stage_freeze,bp_engine_v1.2;breaks_primary;a4_freeze_meta,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,FREEZE_H6A4_20260907.txt,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_A5_PACKAGE
