quarter,value,variable,country,unit,source_note
1995-Q1,-0.3532,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2000-Q1,-1.4782,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2000-Q2,-1.5371,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2000-Q3,-1.0991,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2000-Q4,-1.2683,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2001-Q1,-0.8143,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2001-Q2,-1.1903,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2001-Q3,-1.2532,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2001-Q4,-1.1505,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2002-Q1,-1.1736,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2002-Q2,-1.4232,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2002-Q3,-1.4721,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2002-Q4,-1.4664,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2003-Q1,-2.2209,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2003-Q2,-1.2596,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2003-Q3,-1.2868,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2003-Q4,-1.7373,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2004-Q1,-1.2626,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2004-Q2,-1.5166,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2004-Q3,-1.2708,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2004-Q4,-0.4999,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2005-Q1,-0.8488,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2005-Q2,-0.9994,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2005-Q3,-1.3235,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2005-Q4,-1.5463,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2006-Q1,-1.2468,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2006-Q2,-0.9977,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2006-Q3,-0.7067,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2006-Q4,-0.5012,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2007-Q1,-0.573,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2007-Q2,-0.3373,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2007-Q3,-0.6991,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2007-Q4,-1.1662,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2008-Q1,-1.0643,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2008-Q2,-1.2264,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2008-Q3,-1.4574,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2008-Q4,0.1955,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2009-Q1,0.4679,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2009-Q2,-0.1929,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2009-Q3,-0.3126,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2009-Q4,-2.1907,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2010-Q1,-2.2907,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2010-Q2,-1.9944,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2010-Q3,-1.7907,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2010-Q4,-1.4377,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2011-Q1,-1.6839,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2011-Q2,-1.8937,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2011-Q3,-1.581,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2011-Q4,-1.314,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2012-Q1,-1.0467,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2012-Q2,-0.7943,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2012-Q3,-0.6467,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2012-Q4,-0.6048,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2013-Q1,-0.8952,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2013-Q2,-0.3711,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2013-Q3,-0.1325,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2013-Q4,-0.0649,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2014-Q1,0.1425,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2014-Q2,2.2155,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2014-Q3,2.1029,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2014-Q4,2.3474,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2015-Q1,3.2496,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2015-Q2,1.6195,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2015-Q3,1.8779,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2015-Q4,1.6286,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2016-Q1,1.1468,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2016-Q2,0.4641,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2016-Q3,0.0699,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2016-Q4,0.0133,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2017-Q1,-0.5624,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2017-Q2,-0.1841,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2017-Q3,0.3227,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2017-Q4,0.1114,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2018-Q1,0.522,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2018-Q2,0.1462,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2018-Q3,-0.3112,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2018-Q4,-0.3385,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2019-Q1,0.1569,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2019-Q2,0.4443,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2019-Q3,0.4801,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2019-Q4,1.4517,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2020-Q1,1.0113,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2020-Q2,1.4359,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2020-Q3,1.2023,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2020-Q4,0.1929,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2021-Q1,0.0273,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2021-Q2,-0.3689,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2021-Q3,-0.1666,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2021-Q4,-0.2438,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2022-Q1,0.2098,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2022-Q2,-0.1171,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2022-Q3,-0.2516,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2022-Q4,1.5314,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2023-Q1,2.0343,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2023-Q2,3.9514,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2023-Q3,4.9604,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
