display_name,variable_id,owner,start,end,months,reason,note,hint
社零季调环比(官方),gro.retail_sa_mom,国家统计局,2023-09,2023-10,2,STALE_SOURCE,数据陈旧（补最新值）,"勿用主表普通环比当SA MoM; Archive仅2条(2023-07/2026-07), 2021-08~2026-06未归档=SOURCE_GAP"
全市场融资余额,mar.market_balance,交易所（沪深）,2025-03,2025-04,2,STALE_SOURCE,数据陈旧（补最新值）,全市场口径
新增人民币贷款,cre.new_loan,中国人民银行,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,审核P0-2: 退出Baseline特征
社融增量,cre.tsf_flow,中国人民银行,2015-01,2015-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,与存量互补
社融存量,cre.tsf_stock,中国人民银行,2014-12,2014-12,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,审核P0-1: 从Baseline降级
固投官方累计同比,gro.fai_official_cum,国家统计局,2021-08,2021-08,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,Baseline暂不用FAI
固投官方累计同比,gro.fai_official_cum,国家统计局,2023-04,2023-04,1,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline暂不用FAI
固投官方累计同比,gro.fai_official_cum,国家统计局,2024-04,2024-04,1,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline暂不用FAI
固投官方累计同比,gro.fai_official_cum,国家统计局,2025-04,2025-04,1,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline暂不用FAI
固投官方季调环比,gro.fai_official_samom,国家统计局,2021-08,2021-08,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,
固投官方季调环比,gro.fai_official_samom,国家统计局,2023-04,2023-04,1,SOURCE_GAP,中间缺月（官方有数据即可补）,
固投官方季调环比,gro.fai_official_samom,国家统计局,2024-04,2024-04,1,SOURCE_GAP,中间缺月（官方有数据即可补）,
固投官方季调环比,gro.fai_official_samom,国家统计局,2025-04,2025-04,1,SOURCE_GAP,中间缺月（官方有数据即可补）,
固投官方季调环比,gro.fai_official_samom,国家统计局,2026-04,2026-04,1,SOURCE_GAP,中间缺月（官方有数据即可补）,
工业增加值累计同比,gro.ip_cum_yoy,国家统计局,2008-02,2008-02,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,
工业增加值同比,gro.ip_yoy,国家统计局,2008-02,2008-02,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,release_date不可靠段已保守处理
制造业PMI,gro.pmi,国家统计局,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,已季调
PMI综合产出指数,gro.pmi_composite,国家统计局,2021-09,2021-09,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,
PMI从业人员指数,gro.pmi_employment,国家统计局,2017-12,2017-12,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,
PMI新订单指数,gro.pmi_new_orders,国家统计局,2017-12,2017-12,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,
PMI非制造业商务活动指数,gro.pmi_nonmanufacturing,国家统计局,2021-09,2021-09,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,
PMI生产指数,gro.pmi_production,国家统计局,2017-12,2017-12,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,审核P0-6拆分
PMI原材料库存指数,gro.pmi_raw_material_inventory,国家统计局,2017-12,2017-12,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,
PMI供应商配送时间指数,gro.pmi_supplier_delivery,国家统计局,2017-12,2017-12,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,逆指数(合成时反向)
社零季调环比(官方),gro.retail_sa_mom,国家统计局,2023-07,2023-07,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,"勿用主表普通环比当SA MoM; Archive仅2条(2023-07/2026-07), 2021-08~2026-06未归档=SOURCE_GAP"
社会消费品零售同比,gro.retail_yoy,国家统计局,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,官方2026-07=0.6%
居民储蓄存款,hh.deposit,中国人民银行,2024-02,2024-02,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,短历史
居民人均可支配收入(季度累计),hh.income_quarterly,国家统计局,2021-09,2021-09,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,迁移重发报告标题年判定
核心CPI同比,inf.cpi_core,国家统计局,2026-07,2026-07,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,Archive仅2026-07一条; 2021-08~2026-06未归档=SOURCE_GAP(Current State需补采)
CPI同比,inf.cpi_yoy,国家统计局,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,当月值列=100+同比口径
PPIRM同比(工业生产者购进价格),inf.ppirm,国家统计局,2026-07,2026-07,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,Archive仅2026-07一条; 2021-08~2026-06未归档=SOURCE_GAP
M0同比,liq.m0_yoy,中国人民银行,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,
M1同比,liq.m1_yoy,中国人民银行,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,2008-2024旧口径
M2同比,liq.m2_yoy,中国人民银行,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,用同比非余额水平
12M贷款滚动和,loans_12m,派生特征（无需采集）,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,Σ12连续参考月 new_loan
流动性先行(待实证),m1_m2_gap,派生特征（无需采集）,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,m1_yoy - m2_yoy
深市融资余额(月度),mar.sz_monthly,交易所（沪深）,2010-03,2010-03,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,深市代理用于Current
PMI荣枯线余量,pmi_gap,派生特征（无需采集）,2008-01,2008-01,1,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,gro.pmi - 50
FDR007回购定盘利率,rate.fdr007_mean,银行间市场/中债/人行,2017-05,2017-05,1,COVERAGE_LOW,覆盖率低（补缺月）,存款类机构资金价
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2016-06,2016-06,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2016-12,2016-12,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2017-06,2017-06,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2017-12,2017-12,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2018-06,2018-06,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2018-12,2018-12,1,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2019-06,2019-06,1,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2019-12,2019-12,1,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2020-06,2020-06,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2020-12,2020-12,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2021-06,2021-06,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2021-12,2021-12,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2022-06,2022-06,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2022-12,2022-12,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2023-06,2023-06,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2023-12,2023-12,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2024-06,2024-06,1,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2024-12,2024-12,1,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2025-06,2025-06,1,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline备选(FR007优先); canonical 4555天
SHIBOR 3M,rate.shibor3m_mean,银行间市场/中债/人行,2025-12,2025-12,1,COVERAGE_LOW,覆盖率低（补缺月）,Baseline备选(FR007优先); canonical 4555天
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2016-06,2016-06,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2016-12,2016-12,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2017-06,2017-06,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2017-12,2017-12,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2018-06,2018-06,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2018-12,2018-12,1,SOURCE_GAP,中间缺月（官方有数据即可补）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2019-06,2019-06,1,SOURCE_GAP,中间缺月（官方有数据即可补）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2019-12,2019-12,1,SOURCE_GAP,中间缺月（官方有数据即可补）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2020-06,2020-06,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2020-12,2020-12,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2021-06,2021-06,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2021-12,2021-12,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2022-06,2022-06,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2022-12,2022-12,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2023-06,2023-06,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2023-12,2023-12,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2024-06,2024-06,1,SOURCE_GAP,中间缺月（官方有数据即可补）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2024-12,2024-12,1,SOURCE_GAP,中间缺月（官方有数据即可补）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2025-06,2025-06,1,SOURCE_GAP,中间缺月（官方有数据即可补）,隔夜资金价
SHIBOR O/N,rate.shibor_on_mean,银行间市场/中债/人行,2025-12,2025-12,1,COVERAGE_LOW,覆盖率低（补缺月）,隔夜资金价
