quarter,value,variable,country,unit,source_note
1964-Q2,322037.238116,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2007-Q2,8554019,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2008-Q1,7838144,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2008-Q2,7594435,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2009-Q1,7621984,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2009-Q2,7691720,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2010-Q1,7553258,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2010-Q2,7968808,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2011-Q1,7673026,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2011-Q2,7974407,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2012-Q1,7884492,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2012-Q2,8313421,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2013-Q1,9253303,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2013-Q2,9677063,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2014-Q1,10143120,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2014-Q2,10747916,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2015-Q1,10777538,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
