input_id,input_file,role,source_package_id,source_package_sha256,artifact_sha256,materialized_target_path,note
h6b_q_credit_flow_jp,h6b_q_credit_flow_jp.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,3b6c74bc894c85bffc03daacf36e0cf21bd026c529ddbc446511b3fee89661db,02_standardized/h6b/h6b_q_credit_flow_jp.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_credit_impulse_jp,h6b_q_credit_impulse_jp.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,6c8836769f8159b16f911eff64f1f61f5cc607726f9e1a3ef8d5b0ed07caef25,02_standardized/h6b/h6b_q_credit_impulse_jp.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_developer_funding_cn,h6b_q_developer_funding_cn.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,5555f724ba4a0a1add91088c94d51ac38c6eebe9f86c0b9abd3c29fd8c680de2,02_standardized/h6b/h6b_q_developer_funding_cn.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_hh_credit_gdp,h6b_q_hh_credit_gdp.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,f46deb2c47c1c93b304b43e74ded30acc2dcccb5382c10161c9c247b6d84b888,02_standardized/h6b/h6b_q_hh_credit_gdp.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_housing_starts_cn,h6b_q_housing_starts_cn.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,8575be3bdbe6378a58d1c8148a8b5c3943d5d1d9a5bb5705681e5216bff09596,02_standardized/h6b/h6b_q_housing_starts_cn.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_housing_starts_jp,h6b_q_housing_starts_jp.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,107f748e29ee378c8b71f344e9f473dcc230f1697c642c6a11c133ebaba95c5d,02_standardized/h6b/h6b_q_housing_starts_jp.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_i_q_gfcf_jp,h6b_q_i_q_gfcf_jp.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,3a3f011a079fd46b6dcbd53a61780dbb9a754caa4f3fb88537b23a00425b333b,02_standardized/h6b/h6b_q_i_q_gfcf_jp.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_jp_policy_rate_stance,h6b_q_jp_policy_rate_stance.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3_审核包_20260907.zip,fc4c7b46e700e8d9360f7159399645637db33fdb5fa04a7e398ac4c90b10dc4d,b9bc165ca9728a5effb2fb100c6518721e6dffd84e5c6f6cf40b74d939b42fbb,02_standardized/h6b/h6b_q_jp_policy_rate_stance.csv,B3b JP stance (discount rate) [B3.6: exact parent = JP-HIST_H6B_B3_审核包_20260907.zip]
h6b_q_mof_interest_burden,h6b_q_mof_interest_burden.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,c35e169d1273d3e885887b7c79c75ace9080c3cb40d37b93ae5190b095d831c0,02_standardized/h6b/h6b_q_mof_interest_burden.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_nfc_credit_gdp,h6b_q_nfc_credit_gdp.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,b424c1e2cfd54f4549234d66843f9587f563ddae805c947218186a1cd782bce8,02_standardized/h6b/h6b_q_nfc_credit_gdp.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_property_investment_cn,h6b_q_property_investment_cn.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,051c1c008225a969acf70f703ec87ce31da79b7ec66cb3d4354aff45c6deb71a,02_standardized/h6b/h6b_q_property_investment_cn.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_property_sales_area_cn,h6b_q_property_sales_area_cn.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,c2a61549c069b36841f506597dd7d77f8701ff546d26bfd9bf74fabba71bc208,02_standardized/h6b/h6b_q_property_sales_area_cn.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_property_sales_value_cn,h6b_q_property_sales_value_cn.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,aa9f796f81f90484e6f225dd9e12d469189a5c587415366b79e569ae180a5054,02_standardized/h6b/h6b_q_property_sales_value_cn.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_residential_property_price,h6b_q_residential_property_price.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,fec52f641101327eed20c9dc4d1f944b8ba20ea6e2dac324d6e22ff0e3507e96,02_standardized/h6b/h6b_q_residential_property_price.csv,B1 frozen analysis/aux series (B1.3 manifest)
wb_ny_gdp_mktp_kd_zg_world_api,wb_ny_gdp_mktp_kd_zg_world_api.json,SHOCK_PARENT (H6-A A1.1),JP-HIST_H6A1.1_PATCH_关闭P1_20260907.zip,65483a0db6db5caedfd4172c2f94963be309cd8d90b4119f6e75438085bf5bce,67a8e3937833f92edcfd3f37c444ff5dfb76ce0ad794b054da0ea898af6e2536,01_raw/global_shocks/wb_ny_gdp_mktp_kd_zg_world_api.json,ShockAdj WB growth
cboe_vix_history_daily,cboe_vix_history_daily.csv,SHOCK_PARENT (H6-A A1.1),JP-HIST_H6A1.1_PATCH_关闭P1_20260907.zip,65483a0db6db5caedfd4172c2f94963be309cd8d90b4119f6e75438085bf5bce,9258a25814fb936e7df32a96bcf3914fdbf342afb33cdf8759cdfbc8064ddb72,01_raw/global_shocks/cboe_vix_history_daily.csv,ShockAdj VIX (Model B)
h6b_sign_registry_v1.2.3,h6b_sign_registry_v1.2.3.csv,SIGN_REGISTRY (B0 frozen),JP-HIST_H6B_B0_v1.2.3_审核包_20260907.zip,329e6a8f6a2151a312f1ce8e418c2f31870e67ccb9500b6b13ec14a39f66bb9f,81d7ad946e514cd8a58738f2c19e6da879bda1d0273c5b7b68adfc41e21d57b7,00_registry/h6b_sign_registry_v1.2.3.csv,sign multipliers for deteriorate() [B3.6: exact parent = B0 v1.2.3 pkg; artifact 04_h6b_sign_registry_v1.2.3.csv]
b3b_stance_demand_machine,b3b_stance_demand_machine.csv,B3B_MACHINE_ARTIFACT (verdict runner input; B3.1 frozen),JP-HIST_H6B_B3.1_审核包_20260907.zip,1006ddb1f06cd51d35858d967e6b47f8f5f0a13990ff6d75452269daac16269a,c0cc0a3b3c1c4be058b36b0f752441214013b5714588d12ebeaf10f8eda4430d,04_analysis/h6b/b3/b3b_stance_demand_machine.csv,verdict runner derives B3b JP/CN status from machine_verdict col (no hardcode) [B3.6: exact parent = JP-HIST_H6B_B3.1_审核包_20260907.zip]
