variable_id,country,module,concept,preferred_freq,fallback_freq,target_start,actual_start,official_provider,source_url,format,machine_readable,definition_breaks,vintage_status,comparison_role,cn_gap_type,priority,status,estimated_cost,note
cn.hist.corp_leverage,CN,MONEY_CREDIT,Industrial enterprise leverage (liabilities/assets),Q,Y,2000,1998(规上工业),NBS,https://data.stats.gov.cn/easyquery.htm?cn=A01,API/CSV,TRUE,规上口径调整; 仅工业; 资产负债率官方直接给,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,CN_GAP_COMPARABILITY,P1,AMBER,中,工业部门代理(非全行业); percentile参与
cn.hist.credit_gdp,CN,MONEY_CREDIT,Total social financing stock / GDP (credit proxy),M,Y,2002,2002(社融年度追溯)/2015(存量首公布),PBOC,https://www.pbc.gov.cn/diaochatongjisi/114219/113225/index.html,HTML/CSV,部分,"社融口径2018/2019多次纳入(专项债/政府债/ABS); 存量月度数据2015首公布,2017-01追溯; 2002-2016仅年度或自行累计",RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,CN_GAP_DATA,P1,AMBER,中,JP对应BIS信贷1964+; CN社融官方起点2002(年度报告口径); 2000-2002窗短缺; 备选BIS CN信贷或人民币贷款余额(1990s+)
cn.hist.export_yoy,CN,EXTERNAL,Exports YoY (USD),M,Y,2000,1981(海关统计)/1992(USD口径稳定),GACC 海关总署,http://www.customs.gov.cn/customs/302249/302274/index.html,HTML/API,TRUE,1994年海关统计口径调整(USD); 项目catalog export_yoy 2008+,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P0,GREEN,低,2000-2008段官方有源未采
cn.hist.trade_balance_gdp,CN,EXTERNAL,Trade balance / GDP,Y,Q,2000,1981,GACC + NBS,http://www.customs.gov.cn/,derived,TRUE,USD→RMB折算用年均汇率,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P0,GREEN,低,
cn.hist.fx_usdcny,CN,EXTERNAL,USDCNY change / regime,M,D,2000,1994-01(并轨后官方中间价),SAFE/PBOC,https://www.safe.gov.cn/safe/rmbhuilv/index.html,HTML/CSV,TRUE,1994汇率并轨; 1994-2005固定盯住(8.28); 2005-07汇改浮动; 2015-08中间价机制改革——固定段无变化含义,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,CN_GAP_COMPARABILITY,P0,GREEN,低,JP 1971前固定汇率段同理——FX仅在浮动段可比(EVENT_ONLY/EXCL固定段)
cn.hist.reer,CN,EXTERNAL,Real effective exchange rate,M,Y,2000,1994(BIS),BIS (via FRED),https://fred.stlouisfed.org/series/RNCNBIS,CSV,TRUE,BIS宽/窄口径; 人民币REER 1994+,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,CN_GAP_DATA,P1,GREEN,低,FRED BIS系列可直达
cn.hist.property_price_yoy,CN,PROPERTY_ASSET,New residential price index (70 cities) / land price,M,Q,2005,2005-07(70城)/1998(35城季度),NBS,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962319.html,HTML,TRUE(页面表格),1998起35城季度→2005-07扩70城月度→2011口径调整(环比/同比可得); 地价指数官方不连续(城市地价动态监测2008+),RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_COMPARABILITY,P0,AMBER,中,"JP=地价(1970+), CN官方无全国连续地价指数→用70城房价(住宅资产价格)作proxy并明确EVENT_ONLY/PERCENTILE边界; 2000-2005早期窗只35城季度"
cn.hist.equity_return,CN,PROPERTY_ASSET,Equity index return (上证综指/沪深300),M,Y,2000,1990-12(上证综指),SSE/CSI,https://www.csindex.com.cn/,CSV,TRUE,沪深300基日2004-12-31(2005+); 2000s早期只能用上证综指(全市场代理); 非TRI,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P0,GREEN,低,项目catalog hs300 2008+; JP-HIST需2000s→补上证综指1990s-2000s段; 项目已有sh000001(新浪)
cn.hist.working_age_growth,CN,DEMOGRAPHY_LABOR,Working-age population growth (15-59 or 15-64),Y,Q,2000,1953(普查)/1990(年度推算稳定),NBS,https://data.stats.gov.cn/easyquery.htm?cn=C01,API/CSV,TRUE,普查年(1953/64/82/90/2000/10/20)精确+年度抽样推算; 2012后15-59岁劳动年龄人口官方披露; JP用15-64→口径差需note,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P0,GREEN,低,2000s年度数据官方年鉴可得(1%抽样+推算); 与JP 15-64差: CN官方15-59口径
cn.hist.unemployment,CN,DEMOGRAPHY_LABOR,Unemployment rate (调查失业率),M,Y,2018,2018-01(全国调查)/2013(31城),NBS,https://www.stats.gov.cn/zs/tjws/tjzb/202301/t20230101_1903672.html,HTML,TRUE(页面),"2016建全国月度劳动力调查/2018起定期发布; 此前只有城镇登记失业率(1978+, 口径不可比ILO); 官方还公布25-59岁/16-24岁分项",RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_COMPARABILITY,P0,RED,高,关键CN缺口: 2000-2017无ILO口径调查失业率(登记失业率制度不可比JP 1953+ LFS)→早期CN窗该变量NA; 只能2018+窗参与——结构性! 
cn.hist.wage_yoy,CN,DEMOGRAPHY_LABOR,Wage growth (城镇单位平均工资/可支配收入),Y,M,2000,1978(城镇单位工资年度),NBS,https://data.stats.gov.cn/easyquery.htm?cn=A01,API/CSV,TRUE,2011城乡收入并轨(城镇单位工资口径微调); 可支配收入2013+新口径; 月度工资官方无连续序列,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P1,AMBER,中,JP毎月勤労統計1954+月度vs CN年度平均工资——频率降级为Y; 2000s可得
cn.hist.dependency_ratio,CN,DEMOGRAPHY_LABOR,Old-age dependency ratio,Y,Q,2000,1953(普查),NBS,https://data.stats.gov.cn/easyquery.htm?cn=C01,API/CSV,TRUE,同working_age(年龄结构派生); 抚养比口径65+或60+,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,CN_GAP_DATA,P1,GREEN,低,
cn.hist.corp_land_share,CN,MONEY_CREDIT,Corporate land asset share,NA,NA,NA,NA,无,,NA,NA,CN企业资产负债表不披露土地市值科目,NA,JP_EXPLANATORY(CN无对应),CN_GAP_STRUCTURAL,NA,RED,NA,结构性恒缺: 不进入crosswalk/coverage分母; JP侧保留作解释变量
cn.hist.tfr,CN,DEMOGRAPHY_LABOR,Total fertility rate (普查锚点),Y,,2000,1982(普查锚点),NBS 人口普查(1982/1990/2000/2010/2020),https://www.stats.gov.cn/zs/tjws/zytjzbqs/zrk/202412/t20241220_1957804.html,HTML/年鉴,部分,无官方年度TFR; 仅普查年锚点(2020 census TFR=1.3官方实证; 2010 census estimate有重大vintage修订不确定性); 非普查年需推算源(非官方),RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,CN_GAP_COMPARABILITY,P1,AMBER,中,"官方年度TFR不存在(结构性); 只作普查锚点描述性对照, crosswalk层eligible=FALSE; 勿把推算源当官方年度序列"
cn.hist.birth_rate,CN,DEMOGRAPHY_LABOR,Crude birth rate (per 1000),Y,,2000,1949,NBS 中国统计年鉴,https://www.stats.gov.cn/sj/ndsj,年鉴HTML/Excel,部分,出生率1949+官方年度(统计年鉴3-2历年表); 普查后修订(2020普查对2011-19出生数下修); 2025出生792万TFR≈0.98,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P1,GREEN,低,"两国官方年度齐全→crosswalk主变量; 注: CBR含年龄结构影响, 比较下降轨迹时与TFR锚点交叉验证"
cn.hist.youth_dependency,CN,DEMOGRAPHY_LABOR,Youth dependency ratio (0-14 / 15-64),Y,,2000,1953(普查),NBS 人口普查+年度推算,https://www.stats.gov.cn/sj/ndsj,年鉴,TRUE,普查年精确+年度抽样推算; 2012起劳动年龄口径15-59/16-59与抚养比口径15-64并存需注记,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P1,GREEN,低,统计年鉴总抚养比/少儿抚养比表(15-64口径)可用
