variable_id,country,module,concept,preferred_freq,fallback_freq,target_start,actual_start,official_provider,source_url,format,machine_readable,definition_breaks,vintage_status,comparison_role,priority,status,estimated_cost,note
jp.hist.land_price_yoy,JP,PROPERTY_ASSET,Urban land price YoY (national/major 6 cities),Y,H,1970,1970 (MLIT公示地価; JREI 1959+ 作cross-check),MLIT (公示地価 canonical) + JREI (cross-check),https://www.mlit.go.jp/totikensangyo/totikensangyo_fr4_000043.html ; https://www.reinet.or.jp/visitors-report.html,Excel(公式変動率/平均価格時系列表)+GIS(1983+) | JREI PDF,TRUE(MLIT) / 部分(JREI PDF),MLIT公示地価1970+法定定义稳定(评估额非成交); JREI 1936勧銀→1959JREI承接; 两套勿拼接,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低-中,"H0.7定案: MLIT公示地価=canonical(官方/Excel直下/许可自由/定义稳定), JREI=1959+cross-check(历史长但公开PDF+会员制+民间许可); 平均価格・変動率官方Excel 2026-09-06实证"
jp.hist.nikkei_return,JP,PROPERTY_ASSET,Nikkei 225 annual/3y return,M,Y,1970,1949-05-16,Nikkei (via FRED),https://fred.stlouisfed.org/series/NIKKEI225,CSV,TRUE,日次价格指数; 非TRI(勿当canonical total-return); 早期段EARLY_HISTORY_APPROX,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,JP0实证NIKKEI225 1949-05-16起20170行; 项目已持日次全史; return/drawdown层
jp.hist.working_age_growth,JP,DEMOGRAPHY_LABOR,Working-age (15-64) population growth / share,Y,Q,1970,1920,Statistics Bureau,https://www.stat.go.jp/english/data/nenkan/75nenkan/1431-02.html,XLSX,TRUE,普查年(5年)与推算年度衔接; 年龄口径15-64,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,人口1920+官方; 年龄结构表每年; 待H1确认机器可读excel布局
jp.hist.unemployment,JP,DEMOGRAPHY_LABOR,Unemployment rate,M,Y,1970,1953(官方)/1955(FRED),Statistics Bureau (Labour Force Survey),https://www.stat.go.jp/data/roudou/longtime/03roudou.html,e-Stat,TRUE,労働力調査方法改定(1968/2002等)与集計変更→最新可比系列; retrospective可用,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,官方长期1953+; 项目已持FRED LRUNTTTT 1955+858月; e-Stat页面实证
jp.hist.wage_yoy,JP,DEMOGRAPHY_LABOR,Nominal wage growth (manufacturing / private),M,Y,1970,1954(毎月勤労統計)/1955(FRED),MHLW,https://www.mhlw.go.jp/toukei/list/30-1k.html,e-Stat,TRUE,2019毎月勤労統計サンプル改定衔接; 过去修订到最新可比系列,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P1,AMBER,中,项目已持FRED WAGE_MFG 1955+856月(制造业时薪)/WAGE_PRIVATE 1970+; 官方源H1再核
jp.hist.dependency_ratio,JP,DEMOGRAPHY_LABOR,Old-age dependency ratio,Y,Q,1970,1920,Statistics Bureau,https://www.stat.go.jp/english/data/nenkan/75nenkan/1431-02.html,XLSX,TRUE,同working_age(人口年龄结构派生),RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,P1,GREEN,低,年龄结构派生
jp.hist.corp_land_share,JP,MONEY_CREDIT,Corporate land asset share (land/assets),Q,Y,1970,1954Q2,MOF PRI,https://www.mof.go.jp/english/pri/reference/ssc/historical.htm,XLS,TRUE,同corp_profit(All excl fin); 土地科目现于assets sheet item13,RETROSPECTIVE_HISTORICAL,JP_EXPLANATORY,P0,GREEN,低-中,"解释用(企业囤地→泡沫), 不进CN-JP similarity; CN无企业土地市值科目=CN_GAP_STRUCTURAL"
jp.hist.tfr,JP,DEMOGRAPHY_LABOR,Total fertility rate,Y,,1970,1947,MHLW 人口動態統計 (via e-Stat/IPSS),https://www.e-stat.go.jp/stat-search/database?page=1&toukei=00450011&tstat=000001028897&cycle=7&tclass=000001041645,XLSX/API,TRUE,人口動態調査確定数 1947+; 1947-1972不含沖縄; 女性15-49歳,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,P1,GREEN,低,"IPSS长表1947-2004+ e-Stat確定数至最新, 2026-09-06双源可达实证; CN官方无年度TFR→crosswalk层该概念eligible=FALSE(普查锚点级)"
jp.hist.birth_rate,JP,DEMOGRAPHY_LABOR,Crude birth rate (per 1000),Y,,1970,1947,MHLW 人口動態統計 (via e-Stat),https://www.e-stat.go.jp/stat-search/database?page=1&toukei=00450011&tstat=000001028897&cycle=7&tclass=000001041645,XLSX/API,TRUE,人口動態調査確定数 1947+; 普通出生率人口千対,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P1,GREEN,低,"CN统计年鉴出生率1949+官方年度——两国年度齐全, 真可比变量; 与CN CBR同列crosswalk"
jp.hist.youth_dependency,JP,DEMOGRAPHY_LABOR,Youth dependency ratio (0-14 / 15-64),Y,,1970,1920,Statistics Bureau 国勢調査/人口推計,https://www.stat.go.jp/english/data/nenkan/75nenkan/1431-02.html,XLSX,TRUE,普查年精确+年度推計; 0-14/15-64定义,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P1,GREEN,低,与existing dependency_ratio(老年抚养)互补成抚养比双侧; 1920+
