year,value,variable,country,unit,source_note
1980,84.78682170542633,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2012,7.91898460902134,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2013,7.9,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2014,4.9,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2015,1.8,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2016,1.9,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2017,10.8,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2018,7.1,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2019,5.0,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2020,4.0,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2021,21.2,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2022,10.5,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2023,0.6,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2024,7.1,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
2025,6.1,export_yoy,cn,pct,B2-FIXED export_yoy: 2001-2012 USD-export-corrected (H2 total-growth bug fixed); 2013+ RMB gongbao
